# {"t_start": 1753442983.7723975, "env_id": "PctDiscrete-v0"} 
r,l,t
4.021111,23,2.703094
2.908889,16,3.215606
4.62,19,3.929349
4.534444,18,4.592699
4.876667,23,5.363654
4.534444,22,6.247768
3.764444,17,6.855777
3.251111,14,7.374583
2.652222,12,7.830473
3.507778,14,8.333727
4.106667,21,9.037187
2.908889,15,9.648633
5.133333,19,10.368561
2.908889,15,10.885926
3.764444,19,11.64794
4.62,20,12.295667
2.566667,12,12.685454
2.823333,14,13.244042
3.678889,18,13.933039
3.935556,19,14.647127
4.192222,18,15.390901
3.85,19,16.134813
3.764444,18,16.774893
2.31,11,17.3964
3.935556,16,17.973596
5.732222,27,19.019108
3.85,17,19.709248
2.823333,13,20.195096
4.448889,20,21.122596
5.561111,25,22.091055
5.39,23,23.038647
3.85,15,23.571541
3.678889,19,25.523531
5.304444,28,26.632726
4.791111,21,27.429569
2.994444,14,27.995332
3.764444,16,28.688432
2.823333,15,29.252178
4.534444,23,30.225282
4.791111,24,31.170105
5.817778,23,31.976915
2.566667,12,32.530493
4.534444,20,33.252417
5.047778,24,34.229023
2.908889,14,34.672509
3.507778,18,35.36581
4.363333,21,36.285129
5.732222,24,37.16155
4.876667,22,38.078193
4.363333,20,38.797462
3.08,16,39.434746
4.534444,18,40.197403
4.705556,24,41.087489
5.047778,27,42.181749
3.764444,18,42.840447
4.705556,22,43.565812
4.534444,17,44.259974
2.138889,12,44.665823
3.678889,15,45.191509
5.475556,22,46.163826
0.684444,3,46.240878
3.764444,17,46.972325
3.165556,16,47.656241
3.678889,19,48.447606
2.908889,11,48.873765
4.277778,18,49.527355
2.994444,15,50.152674
4.277778,19,50.954605
3.678889,18,51.7915
3.764444,17,52.46757
4.705556,24,53.499068
2.823333,14,54.17019
4.448889,23,54.98891
4.534444,18,55.734192
5.047778,23,56.776091
4.705556,21,58.645523
4.791111,21,59.554304
3.507778,19,60.329979
4.705556,24,61.390289
2.823333,12,61.871077
4.534444,24,62.906791
4.962222,21,63.792348
2.908889,13,64.353301
3.422222,16,65.00021
5.475556,22,65.875276
3.336667,16,66.504994
3.507778,13,67.039036
4.791111,21,67.923784
4.791111,20,68.68901
5.475556,24,69.707894
3.935556,14,70.328231
3.593333,16,70.97895
2.994444,13,71.675015
3.08,17,72.282725
4.534444,23,73.234522
3.935556,17,73.912985
3.251111,16,74.477539
4.705556,20,75.195741
2.138889,8,75.668353
4.876667,24,76.57736
3.422222,16,77.181001
4.277778,17,77.959069
2.566667,10,78.358996
3.764444,18,79.073708
5.218889,24,80.15846
4.277778,19,80.946056
4.62,23,82.048315
4.277778,20,82.897422
3.935556,18,83.614061
4.192222,17,84.376885
5.561111,27,85.388369
3.422222,17,86.160436
2.652222,15,86.720161
3.165556,14,87.302451
4.62,23,88.266758
4.106667,17,89.0019
3.251111,16,89.621001
5.047778,21,91.798287
5.047778,21,92.620072
5.133333,23,93.689569
3.935556,19,94.464899
3.678889,16,95.111662
4.363333,23,96.124931
4.62,21,97.111121
5.39,23,98.17164
