# {"t_start": 1753519640.8767374, "env_id": "PctContinuous-v0"} 
r,l,t
3.507778,17,3.553964
4.448889,19,5.158293
4.448889,23,7.287603
3.85,18,8.916273
4.277778,20,11.813859
5.39,24,14.151109
4.534444,21,16.035806
3.251111,17,17.631126
3.935556,18,19.243334
3.764444,16,20.760358
5.988889,29,23.724927
4.791111,22,25.791386
5.475556,24,28.347162
4.62,21,30.443643
4.448889,19,32.287158
4.791111,21,34.167584
4.363333,19,36.055514
5.39,23,38.601405
3.935556,15,40.367105
4.705556,22,42.94326
4.791111,23,46.614879
5.732222,21,48.827121
1.54,7,49.643501
4.021111,19,51.615461
4.277778,21,54.124166
4.192222,19,56.448305
4.791111,21,58.954619
3.593333,15,60.684118
3.422222,16,62.553476
4.62,21,64.973939
2.395556,14,66.474304
4.363333,22,69.143841
5.218889,21,71.186529
3.165556,15,72.889744
3.251111,14,74.516168
2.138889,9,75.577094
4.021111,18,79.088272
2.823333,15,80.629519
5.047778,22,82.964369
5.39,22,85.479125
3.593333,17,87.376556
5.304444,23,89.927922
4.534444,22,92.49618
4.876667,20,94.732366
4.705556,23,97.318582
3.764444,16,99.007764
2.823333,14,100.578364
3.336667,18,102.551322
5.133333,24,105.096535
4.705556,21,107.687276
4.277778,19,109.680909
4.705556,23,113.311079
4.448889,21,115.759666
1.711111,9,116.807044
4.448889,19,119.065871
3.422222,15,120.846127
2.224444,11,122.038568
4.705556,22,124.412495
5.646667,23,126.980046
3.764444,16,128.597715
1.967778,12,129.916034
3.935556,15,131.638725
2.908889,12,132.8965
3.935556,16,134.671682
4.791111,19,136.960443
3.678889,18,138.957791
3.764444,17,140.852362
4.448889,19,143.111663
2.994444,17,145.914171
4.791111,22,148.619997
4.363333,22,150.962153
4.021111,21,153.304191
6.416667,24,156.116252
3.507778,15,157.796653
3.678889,14,159.277616
3.85,20,161.536478
4.448889,26,164.41974
2.908889,10,165.682391
3.08,13,167.105109
4.277778,18,169.073099
5.133333,27,172.193707
3.422222,17,174.106679
4.021111,19,176.16651
3.935556,18,179.420643
3.08,12,180.749108
4.62,19,182.932403
3.336667,14,184.525226
5.903333,25,187.314097
2.566667,13,188.787338
3.764444,18,190.943071
4.962222,24,193.420058
5.646667,23,196.136315
3.935556,22,198.540323
4.876667,27,201.614155
3.251111,15,203.334507
4.62,21,205.792044
4.448889,20,207.970197
3.764444,18,209.944856
4.363333,20,213.446312
5.561111,26,216.319811
4.791111,26,219.465152
2.737778,14,221.047652
4.192222,18,222.987809
5.047778,21,225.39458
5.732222,20,227.584394
4.448889,20,229.913111
4.791111,19,231.901472
4.448889,18,233.889923
3.593333,17,235.869205
4.448889,18,237.85653
4.448889,22,240.15452
4.791111,24,242.993123
3.507778,14,245.847395
3.507778,18,248.006989
4.962222,24,250.532542
5.218889,26,253.59796
5.646667,19,255.552853
4.192222,17,257.443072
2.652222,11,258.665134
3.507778,15,260.440515
3.935556,19,262.61996
4.705556,22,265.309448
5.475556,22,267.796128
4.021111,23,270.361727
4.962222,24,272.984137
2.908889,11,274.236377
4.876667,25,277.226246
4.705556,26,281.286721
4.363333,24,284.192087
5.133333,21,286.425792
3.935556,16,288.179793
4.192222,20,290.475532
2.823333,14,292.018007
4.448889,22,294.692162
3.764444,18,296.623937
5.475556,26,299.694471
3.935556,17,301.660722
3.935556,21,303.930065
4.962222,22,306.54795
4.277778,18,308.445633
4.192222,17,310.386808
3.764444,17,313.586422
2.737778,11,314.730533
4.791111,25,317.518841
4.021111,18,319.687027
4.876667,21,321.975847
4.534444,20,324.422261
4.106667,21,326.662505
4.962222,23,329.249739
5.561111,27,332.279673
2.908889,13,333.729857
3.678889,20,336.060642
4.62,24,338.853129
4.876667,21,341.397922
3.678889,16,343.147687
4.791111,19,346.633156
3.165556,14,348.373972
4.534444,22,350.672158
5.218889,26,353.357725
5.218889,22,355.943893
3.85,18,357.892731
3.165556,16,359.771649
5.475556,23,362.240716
3.764444,15,363.950495
4.106667,22,366.438734
3.85,19,368.49425
3.935556,18,370.615749
4.705556,19,372.700923
4.534444,18,374.65652
4.876667,23,377.287646
5.903333,27,381.461608
4.876667,20,383.702836
2.652222,13,385.073579
4.192222,19,387.257726
4.62,19,389.551775
3.678889,21,391.858057
5.047778,20,394.156884
5.646667,28,397.321153
5.133333,27,400.534434
4.277778,20,402.698109
4.363333,23,405.204646
2.994444,13,406.784737
5.646667,25,409.53132
5.133333,24,413.540537
4.021111,19,415.550714
4.534444,21,418.074787
3.935556,21,420.444686
3.85,19,422.65062
5.047778,29,425.759878
4.62,20,427.941112
3.165556,16,429.986456
4.363333,22,432.317004
4.363333,23,435.052542
4.363333,23,437.600026
4.106667,18,439.623256
3.764444,17,441.617756
4.534444,22,444.126421
4.534444,23,447.874961
4.021111,16,449.551471
4.448889,21,451.925864
5.475556,25,454.869252
4.277778,22,457.444503
4.363333,19,459.807706
5.133333,26,462.545327
4.192222,22,465.025243
4.791111,22,467.361251
4.277778,20,469.673846
3.507778,14,471.412284
4.277778,22,473.814427
3.764444,18,475.901349
2.053333,8,476.711474
5.475556,24,480.425254
5.304444,28,483.64285
4.876667,18,485.638822
3.593333,16,487.471606
3.764444,15,489.279767
3.593333,21,491.742998
4.448889,21,494.154961
3.593333,18,495.972766
4.192222,22,498.432069
5.988889,24,501.118645
3.422222,14,502.592585
4.277778,14,504.176749
3.251111,19,506.414495
4.876667,25,509.132087
4.106667,18,511.249755
3.935556,19,514.655666
4.192222,19,516.876337
4.277778,18,519.095947
3.422222,18,521.121617
4.534444,19,523.237143
5.39,22,525.789752
4.021111,21,527.967383
4.363333,18,529.97321
4.363333,20,532.141813
2.395556,16,533.92837
4.363333,17,535.770333
4.363333,22,538.161794
5.304444,25,541.061774
3.85,17,542.852961
4.705556,22,546.660799
2.31,12,548.139788
3.336667,14,549.667757
3.935556,21,552.289228
5.646667,23,554.912002
5.047778,21,557.202043
4.363333,16,559.100792
3.507778,20,561.233016
3.764444,19,563.287854
4.021111,19,565.48624
5.047778,26,568.196039
3.935556,16,570.1589
4.021111,17,572.036493
4.62,18,574.0305
3.422222,15,575.788914
5.732222,20,578.013663
5.133333,24,581.971263
2.908889,12,583.479428
4.705556,21,585.862372
5.218889,22,588.449604
4.534444,21,590.588813
5.047778,25,593.298977
4.363333,19,595.264191
3.08,15,596.975791
3.85,14,598.572944
4.448889,19,600.854469
4.106667,17,602.724122
5.304444,27,605.875865
5.047778,22,608.212355
6.502222,27,611.352259
5.646667,24,615.490123
4.962222,25,618.586258
5.561111,21,621.115218
5.047778,23,623.565466
5.988889,31,626.807249
6.074444,26,629.70394
4.363333,16,631.481297
5.047778,26,634.580522
3.165556,16,636.289477
5.475556,19,638.347251
5.817778,29,641.70374
5.047778,25,644.621041
4.363333,24,648.841231
4.705556,24,651.506529
5.732222,22,654.056904
5.903333,27,656.953653
4.876667,24,659.584066
3.336667,12,660.839562
5.304444,23,663.44792
4.363333,20,665.770725
3.935556,22,668.130848
4.876667,21,670.536772
5.732222,22,673.046288
5.133333,25,676.127145
5.218889,23,678.617142
5.817778,22,682.7597
6.074444,32,686.246122
4.876667,21,688.696036
6.416667,27,691.761455
4.876667,25,694.821235
6.93,33,698.469753
6.587778,34,701.822587
6.758889,32,705.263378
5.732222,23,707.673626
5.475556,22,710.080347
5.988889,28,713.056255
4.962222,26,717.419876
6.16,27,720.183577
4.192222,18,722.195019
5.047778,22,724.414122
6.93,26,727.095105
5.903333,27,730.00254
5.732222,27,732.743727
6.074444,26,735.233316
6.16,30,738.310525
5.475556,29,741.400375
7.272222,32,744.843045
6.245556,33,749.708258
6.16,27,752.513084
5.304444,25,755.240878
5.218889,27,757.927726
5.732222,27,760.729443
5.39,24,763.128366
5.218889,23,765.543782
4.705556,19,767.452467
5.903333,24,770.014629
5.817778,30,773.826208
6.245556,29,777.489981
5.646667,23,780.114575
5.988889,26,784.454927
6.245556,24,787.153262
6.16,30,790.622087
5.988889,23,793.041297
6.331111,28,796.173253
5.988889,27,798.994663
5.047778,24,801.731669
6.245556,28,804.77704
7.528889,37,808.952667
5.988889,31,812.3824
6.93,29,817.021812
5.732222,28,820.359884
5.304444,22,822.748432
5.732222,23,825.352326
