# {"t_start": 1753519640.8256304, "env_id": "PctContinuous-v0"} 
r,l,t
5.047778,21,3.925165
5.732222,25,6.042155
3.165556,16,7.646726
3.507778,17,9.098947
5.561111,23,12.306319
4.021111,21,14.339113
2.395556,11,15.358357
4.021111,16,16.742656
4.448889,19,18.547691
3.507778,18,20.258901
4.021111,18,21.954801
4.277778,22,24.279596
2.908889,15,25.689492
4.876667,23,28.084625
3.764444,20,30.110516
4.448889,20,31.958637
3.678889,15,33.393127
3.507778,17,35.058468
3.08,15,36.539056
1.967778,10,37.631696
2.395556,11,38.88123
4.876667,24,41.636379
3.251111,16,44.580672
2.481111,10,45.69202
4.363333,20,47.927454
3.85,15,49.628372
4.791111,16,51.230776
3.935556,21,53.694355
4.021111,23,56.486073
5.304444,23,59.275583
4.962222,23,61.967626
4.791111,20,64.197988
3.764444,18,66.228504
5.047778,26,69.279458
4.363333,23,71.555818
3.935556,19,73.74771
5.732222,26,78.300112
3.422222,14,79.855712
3.935556,20,81.763315
3.935556,14,83.292795
2.224444,8,84.241895
4.192222,20,86.577923
4.021111,17,88.464751
3.165556,13,89.901673
5.218889,21,92.346849
4.62,25,95.172471
4.021111,18,97.198128
4.448889,23,99.612006
4.192222,19,101.868073
2.737778,12,102.907075
2.908889,16,104.744465
3.764444,19,106.854517
4.448889,23,109.561231
5.39,29,113.951023
5.047778,25,116.751773
3.678889,15,118.537898
4.62,20,120.888642
4.791111,21,123.146686
3.507778,19,125.375968
3.507778,16,127.02107
4.192222,18,128.907485
3.593333,13,130.22418
4.962222,24,132.919485
0.941111,5,133.496326
3.935556,20,135.779639
3.422222,19,137.979014
2.994444,14,139.580905
4.021111,20,141.991259
4.363333,17,144.850661
3.08,15,146.433269
4.277778,22,149.033045
2.823333,12,150.384831
3.935556,19,152.520651
2.652222,13,153.939615
3.593333,20,156.285158
4.277778,19,158.373278
2.566667,12,159.628927
4.705556,20,161.875122
4.791111,28,165.033573
5.732222,21,167.436826
3.764444,16,169.215136
4.363333,22,171.827742
4.277778,23,174.340446
1.026667,4,174.783067
1.796667,10,175.880635
4.106667,20,179.391174
4.534444,20,181.558393
3.507778,17,183.685433
3.336667,15,185.285428
4.277778,20,187.528458
3.165556,15,189.400151
4.791111,24,191.930553
3.678889,18,193.830627
4.876667,21,196.27524
2.481111,13,197.744025
1.882222,11,198.935265
3.507778,16,200.779733
3.593333,19,202.921339
3.678889,19,205.181629
4.791111,20,207.462005
5.475556,23,209.818667
4.791111,20,213.329065
3.85,15,215.039553
3.593333,16,216.8986
1.796667,8,217.699783
2.224444,10,219.051424
5.304444,22,221.542573
4.021111,19,223.54085
4.876667,21,225.99614
4.62,22,228.343815
4.705556,18,230.482044
3.678889,18,232.43076
3.422222,14,233.969238
4.021111,20,236.258179
3.678889,17,238.080807
4.363333,19,240.105704
2.652222,13,241.69511
2.908889,13,243.113034
5.218889,25,247.211618
3.422222,16,249.134696
2.481111,11,250.322669
4.876667,22,252.736919
3.422222,15,254.442026
3.507778,19,256.502979
4.62,22,258.918293
3.85,15,260.668615
5.817778,25,263.568668
2.994444,15,265.46377
5.304444,21,267.841195
4.705556,22,270.314081
3.678889,16,272.063604
4.192222,21,274.376316
5.218889,24,277.277373
5.047778,23,281.09216
0.77,4,281.514126
1.967778,10,282.683363
5.903333,28,285.817036
4.62,17,287.682427
4.448889,23,290.237695
5.047778,22,292.837695
4.876667,25,295.726525
4.962222,23,298.238506
5.304444,26,301.328113
3.507778,14,302.894436
3.593333,20,305.032671
4.705556,24,307.833291
4.876667,19,310.028116
4.534444,23,313.79769
3.764444,16,315.611709
4.192222,19,317.661109
2.31,11,319.088177
5.39,20,321.253669
4.277778,22,323.778631
3.507778,19,326.001059
5.475556,21,328.268516
3.08,15,330.0335
3.935556,16,331.791342
2.908889,12,333.171207
4.021111,18,335.141434
2.395556,12,336.599217
3.678889,18,338.647591
3.165556,17,340.655988
4.021111,19,342.822464
2.823333,12,344.252762
3.935556,17,347.451164
3.251111,17,349.467644
5.133333,24,351.947193
5.218889,22,354.461971
2.566667,11,355.624592
5.218889,22,358.044258
3.422222,16,359.952233
5.304444,28,362.962613
3.422222,19,365.213164
4.021111,19,367.282837
1.882222,11,368.450353
5.903333,25,371.299889
2.994444,15,372.94437
4.705556,23,375.502768
4.876667,22,379.187718
5.561111,24,381.858171
3.507778,21,384.14146
5.133333,23,386.689734
5.304444,26,389.827434
3.336667,14,391.379611
4.192222,21,393.645587
4.62,18,395.699853
4.277778,19,397.932222
4.277778,22,400.582142
4.363333,20,402.747605
3.08,16,404.511849
3.507778,15,406.257781
3.165556,15,407.921257
4.363333,19,410.05089
4.534444,23,413.878119
3.678889,17,415.766052
4.021111,21,418.233333
3.678889,25,421.054404
3.422222,15,422.79225
4.021111,18,424.771531
4.277778,21,427.038126
4.106667,22,429.672631
4.106667,20,431.860983
4.962222,26,434.718753
4.192222,19,437.018174
4.277778,21,439.348506
4.62,19,441.574668
3.336667,16,443.36787
4.448889,19,446.70451
5.39,21,448.971729
4.705556,25,451.740667
3.507778,17,453.836431
4.277778,21,456.20903
4.448889,24,459.158704
4.192222,20,461.348318
3.422222,17,463.154507
2.994444,15,464.864593
4.106667,20,466.976252
3.678889,17,468.876092
3.08,12,470.485608
4.876667,22,472.796301
5.218889,24,475.477705
5.561111,24,478.128433
5.047778,22,481.688899
4.534444,18,483.807338
4.106667,18,485.772343
4.62,22,488.4677
4.192222,16,490.296081
1.026667,7,491.059052
2.737778,14,492.661347
4.448889,23,495.198159
4.876667,23,497.678269
3.764444,18,499.760198
5.133333,24,502.382846
4.021111,17,504.207652
5.646667,25,507.089191
3.507778,19,509.186011
4.62,23,513.178872
4.534444,18,515.150584
3.251111,18,517.335826
4.192222,17,519.333088
5.047778,25,522.217789
3.678889,18,524.324574
4.448889,19,526.366383
4.021111,19,528.296106
5.047778,27,531.33685
5.39,25,534.04341
3.678889,18,536.018622
2.737778,13,537.483273
4.534444,19,539.62388
3.85,21,541.920618
3.251111,17,543.827229
2.566667,9,544.820752
5.304444,30,549.619668
6.673333,27,553.039173
5.561111,24,555.596207
4.021111,22,558.105583
5.561111,24,560.745259
5.39,24,563.363251
5.218889,26,566.281291
4.021111,21,568.501601
4.363333,20,570.858665
3.422222,19,573.037563
3.764444,17,574.79986
5.646667,28,578.039277
3.85,18,581.307903
4.277778,18,583.533911
5.304444,22,586.006332
4.363333,19,588.27827
4.791111,23,590.631873
4.62,20,592.700246
4.277778,18,594.658361
5.39,22,597.211371
5.133333,21,599.684106
4.705556,19,601.827188
5.475556,24,604.542738
3.764444,18,606.552215
5.475556,28,609.643415
4.021111,18,611.68976
4.448889,21,615.510218
5.133333,23,618.453254
5.39,27,621.532339
5.304444,28,624.58116
5.304444,24,627.141471
5.047778,22,629.520801
6.502222,33,633.291866
5.39,23,635.906255
5.561111,25,638.605294
6.587778,30,642.032008
4.876667,22,644.682854
5.988889,24,648.853424
4.534444,19,650.952521
6.502222,30,654.386494
5.903333,25,657.07732
5.988889,28,660.14158
5.561111,26,663.020223
4.277778,17,665.095965
5.39,21,667.352695
6.587778,27,670.313891
6.844444,32,674.099478
5.646667,24,676.913979
5.39,28,681.496865
5.133333,24,684.38929
4.62,19,686.486852
4.962222,24,689.127171
6.245556,27,692.293131
5.732222,25,695.438325
4.876667,24,698.022904
5.475556,23,700.383928
6.331111,26,702.864283
4.62,18,704.919064
7.528889,33,708.39397
5.646667,24,710.92425
6.074444,25,715.037483
6.844444,33,718.637528
5.39,23,721.073843
6.245556,24,723.603729
4.876667,22,725.878412
6.758889,27,728.807503
6.16,25,731.33371
6.331111,25,733.751769
5.817778,22,736.005929
5.218889,19,737.956794
5.304444,24,740.472791
6.93,29,743.69526
5.561111,27,746.408117
6.331111,23,750.203518
3.422222,15,751.869417
5.475556,26,754.554291
5.903333,26,757.23497
5.903333,28,760.182465
6.416667,31,763.295354
5.817778,27,766.147655
5.39,28,768.991577
5.047778,23,771.539991
7.186667,30,775.562111
4.962222,26,778.633913
5.817778,25,782.739959
4.106667,22,785.342816
6.16,27,788.408884
5.988889,31,791.925316
6.758889,28,795.118961
6.93,25,797.696974
4.192222,21,799.958187
6.331111,25,802.742431
6.331111,26,805.589649
6.074444,25,808.450084
5.218889,21,810.718621
6.502222,27,813.804865
6.673333,30,818.80428
5.475556,23,821.236084
4.534444,17,823.144729
4.962222,21,825.502322
4.62,20,827.647662
5.903333,29,830.812229
4.962222,19,832.794278
5.732222,25,835.592602
5.133333,23,838.09237
4.962222,20,840.297038
5.988889,28,843.495734
5.732222,29,846.632619
6.502222,26,851.064426
6.331111,25,854.102615
5.903333,29,857.181318
6.673333,30,860.693485
6.074444,28,863.944307
5.39,24,866.99016
5.561111,27,870.325499
4.62,23,873.16137
5.903333,27,876.490399
5.646667,30,879.461111
5.304444,23,883.047069
5.133333,19,885.223358
6.074444,28,888.238424
6.502222,25,890.971383
6.587778,28,893.925064
6.758889,28,896.789606
5.39,26,899.476616
6.673333,31,902.673731
6.16,30,906.093507
6.416667,27,908.884171
4.791111,22,911.270445
5.817778,27,913.937529
5.732222,22,917.793911
6.502222,28,920.816461
5.817778,27,923.67654
5.988889,29,926.624999
6.16,24,929.084445
4.962222,24,931.592369
5.817778,25,934.295319
5.39,25,936.880074
6.93,27,939.757102
6.758889,29,942.692622
6.331111,29,945.610371
5.304444,26,948.419765
6.245556,31,952.96224
4.705556,22,955.31358
6.587778,32,958.489247
6.074444,27,961.032518
6.074444,25,963.633372
5.561111,27,966.567826
5.817778,28,969.368753
7.614444,31,972.703138
5.988889,26,975.378816
6.93,31,978.344371
6.331111,25,981.086745
7.015556,29,985.470142
6.673333,27,988.274766
5.304444,21,990.425936
6.331111,24,992.723891
4.876667,17,994.400634
7.015556,27,997.158677
5.646667,24,999.699207
6.758889,32,1003.074522
7.015556,32,1006.316967
6.16,28,1008.981254
6.673333,26,1011.643598
5.475556,24,1014.214873
5.903333,26,1018.20075
6.074444,25,1020.956598
6.074444,27,1023.673536
6.502222,28,1026.445868
6.93,29,1029.387122
6.416667,31,1032.588776
4.962222,22,1034.993358
7.528889,31,1038.09425
7.015556,30,1040.963156
5.304444,26,1043.654989
5.988889,24,1046.323178
7.101111,25,1048.997271
7.785556,35,1054.038749
5.817778,24,1056.47578
5.475556,27,1058.978616
5.39,25,1061.471627
5.561111,26,1064.059782
6.587778,27,1066.936223
5.732222,24,1069.35329
6.416667,29,1072.126677
6.673333,28,1075.095004
7.357778,33,1078.646144
6.16,29,1081.591889
6.416667,31,1086.306742
6.16,26,1088.884637
5.988889,27,1091.519542
5.732222,28,1094.252697
6.587778,31,1097.320961
7.186667,30,1100.405278
6.758889,29,1103.297787
6.416667,28,1106.099597
5.988889,30,1109.25913
7.101111,30,1112.291069
6.844444,35,1116.002671
7.357778,34,1120.706811
6.416667,28,1123.548437
5.817778,26,1126.190888
4.791111,26,1128.639451
