# {"t_start": 1753519640.6368756, "env_id": "PctContinuous-v0"} 
r,l,t
4.363333,20,3.965063
3.764444,16,5.371128
4.448889,17,6.939593
5.218889,26,9.29348
5.218889,24,12.598673
4.705556,19,14.456072
4.021111,18,16.016897
3.251111,19,17.843072
5.047778,25,20.086605
4.363333,21,22.11782
4.277778,19,24.104346
6.074444,25,26.479221
3.764444,18,28.471279
4.448889,19,30.459678
5.047778,21,32.473874
4.534444,21,34.308859
4.705556,19,36.192607
2.823333,14,37.747142
1.796667,8,38.596471
3.593333,18,40.69963
2.737778,13,42.077833
4.962222,25,46.051344
3.764444,17,47.997806
3.85,20,50.168021
3.08,13,51.49289
4.021111,17,53.552733
3.08,14,55.391405
3.85,18,57.331586
3.764444,18,59.5238
3.935556,20,61.922289
4.021111,18,63.899419
4.192222,20,66.143085
4.363333,20,68.507237
3.593333,16,70.314188
6.416667,28,73.250937
4.106667,17,75.218176
4.705556,23,79.31288
5.304444,22,81.57296
5.304444,25,84.337441
2.737778,15,86.119244
4.791111,24,88.686975
3.935556,18,90.848078
3.593333,15,92.539035
3.165556,18,94.571257
1.882222,8,95.415163
4.192222,22,97.829735
3.678889,18,99.799647
1.882222,10,100.910942
4.106667,17,102.749925
3.935556,18,104.614434
3.935556,17,106.624568
4.876667,20,109.026684
2.908889,11,110.145852
4.791111,20,113.481385
3.764444,17,115.401025
4.705556,19,117.6268
2.31,11,118.896504
4.448889,20,121.268535
3.935556,22,123.743524
3.507778,17,125.623518
4.448889,17,127.403104
4.277778,21,129.588784
3.336667,15,131.282732
2.823333,15,132.948043
3.935556,19,135.030967
4.534444,20,137.403036
4.192222,21,139.743083
2.908889,14,141.244619
3.507778,19,143.561888
4.192222,21,146.792016
4.277778,19,149.078732
3.165556,15,150.766389
3.422222,17,152.677402
4.876667,23,155.355821
4.363333,21,157.617913
4.277778,20,159.794609
2.737778,16,161.65856
2.652222,14,163.13028
3.935556,19,165.273408
3.422222,19,167.530689
4.106667,18,169.59973
4.705556,21,171.981928
4.277778,20,174.240227
4.363333,20,176.409716
4.021111,18,179.662977
4.021111,24,182.308754
3.85,21,184.734474
4.106667,19,186.905685
4.106667,19,189.000092
3.336667,12,190.489299
2.737778,13,191.901253
5.475556,29,195.158125
3.165556,15,196.777176
2.737778,17,198.632141
5.39,26,201.588367
4.106667,20,203.886568
3.08,16,205.821306
3.764444,18,207.815148
3.85,18,209.667077
3.935556,21,213.293296
3.678889,17,215.211265
4.363333,24,217.83678
4.106667,21,220.437517
3.764444,18,222.421821
4.106667,24,225.157839
2.481111,9,226.164103
2.823333,14,227.6094
4.62,22,230.187529
2.481111,11,231.360684
3.935556,18,233.393746
2.31,13,234.777115
4.705556,22,237.35912
4.106667,16,239.07313
4.192222,19,241.274206
3.85,18,243.171687
4.705556,21,246.817865
4.021111,16,248.805868
4.106667,16,250.502563
4.876667,22,252.866985
4.021111,21,255.250241
3.764444,18,257.254297
3.593333,18,259.353915
4.448889,20,261.57475
4.192222,16,263.442986
4.962222,24,266.309606
4.791111,21,268.643308
4.192222,20,271.020715
5.304444,23,273.393586
3.336667,17,275.350644
4.021111,16,277.317012
2.823333,13,280.073243
4.106667,28,283.147147
5.646667,25,286.02274
5.304444,21,288.262642
2.994444,15,289.92651
3.165556,13,291.470364
4.705556,20,293.754137
4.363333,24,296.528517
4.705556,17,298.429323
4.363333,17,300.603138
4.962222,23,303.044591
3.935556,18,305.023224
4.791111,23,307.666533
5.218889,22,310.205288
4.192222,22,313.8542
5.475556,23,316.427001
3.85,20,318.778362
5.047778,20,320.955489
3.85,15,322.632665
4.876667,22,325.262377
5.133333,20,327.425569
3.507778,15,329.072451
4.705556,21,331.476155
3.251111,16,333.358795
4.791111,25,336.207793
4.277778,20,338.551872
4.705556,21,340.930557
3.935556,18,342.977592
4.962222,21,346.734775
3.507778,16,348.671057
4.448889,19,350.706383
3.678889,16,352.334367
4.62,21,354.736075
3.85,17,356.499082
4.277778,19,358.663531
4.791111,21,361.072862
4.277778,21,363.406957
5.561111,24,366.114669
2.823333,15,367.681611
5.133333,22,370.173386
5.732222,30,373.567049
4.534444,23,376.018936
4.705556,25,380.104425
4.962222,25,382.878339
4.448889,23,385.375639
3.251111,16,387.172913
3.764444,16,389.186642
3.678889,14,390.715173
3.251111,17,392.65145
3.678889,17,394.584686
4.448889,25,397.408186
3.336667,18,399.539355
5.39,25,402.337855
4.876667,20,404.576603
5.817778,29,407.826234
3.507778,17,409.746431
4.021111,20,413.318074
5.047778,24,415.946897
3.422222,18,417.907916
5.561111,21,420.401651
5.561111,26,423.408057
4.192222,18,425.377577
3.85,21,427.604096
3.935556,16,429.657567
4.962222,20,431.845311
4.192222,19,433.813627
4.192222,17,435.941934
2.823333,14,437.543975
4.962222,23,440.027659
5.047778,23,442.765527
4.62,24,446.696305
4.106667,18,448.639513
4.791111,20,450.798404
5.047778,22,453.44425
2.566667,13,454.812564
4.534444,21,457.28946
4.705556,22,459.994759
5.304444,25,462.672527
3.165556,13,464.042263
4.363333,18,466.103874
4.106667,16,467.808494
3.935556,19,470.011497
2.652222,12,471.484108
3.422222,21,473.831527
3.935556,18,475.719725
3.593333,18,477.78719
3.251111,17,480.740852
4.962222,21,483.187289
4.192222,20,485.375813
5.133333,25,488.279817
4.021111,22,490.991784
3.764444,16,492.699362
2.994444,13,494.300695
3.593333,20,496.394453
4.791111,18,498.275501
5.646667,26,501.176641
6.245556,26,504.100885
2.908889,16,505.947153
3.336667,13,507.349418
4.791111,21,509.745469
3.165556,16,511.557887
4.962222,21,515.258044
4.534444,17,517.201317
4.021111,18,519.403322
4.021111,17,521.339977
4.705556,25,524.235546
3.935556,19,526.276007
3.08,15,527.835451
4.705556,22,530.37481
4.705556,21,532.609032
5.133333,24,535.327663
4.876667,20,537.485594
1.026667,4,537.829599
4.192222,22,540.4193
2.994444,12,541.698136
5.646667,28,544.796296
2.994444,13,547.595347
3.935556,18,549.682336
5.646667,21,552.153845
3.678889,20,554.58977
3.422222,16,556.329576
3.678889,18,558.370512
4.106667,20,560.578469
4.534444,22,562.934526
4.192222,22,565.50029
4.192222,19,567.528689
4.962222,24,570.199836
6.245556,26,573.201368
5.304444,23,575.70109
4.021111,22,578.256032
4.106667,25,582.480051
4.277778,19,584.526992
4.876667,22,587.129782
3.08,15,588.894859
3.507778,15,590.405356
5.561111,22,592.621783
4.277778,19,594.733205
3.935556,17,596.637576
4.534444,18,598.698888
4.962222,20,601.036037
5.732222,29,604.438638
5.988889,25,607.182111
4.021111,21,609.465863
6.16,32,614.526994
5.39,24,617.338215
4.876667,23,620.264129
4.277778,19,622.41405
6.587778,27,625.28099
6.074444,23,627.69894
5.817778,27,630.670459
5.817778,28,633.913334
6.074444,28,637.036459
4.363333,22,639.505097
3.935556,18,641.562131
5.732222,28,644.842416
6.331111,26,649.223519
5.732222,27,652.331001
6.16,25,655.113153
6.416667,29,658.226607
6.416667,27,661.242866
5.903333,22,663.687862
6.416667,27,666.745489
5.047778,24,669.311796
5.218889,27,672.473923
6.074444,26,675.700026
5.39,27,678.609127
6.331111,29,683.535928
5.732222,30,686.834831
5.646667,24,689.576759
5.304444,23,692.174768
4.876667,22,694.850933
5.304444,25,697.744816
4.791111,17,699.446856
7.101111,33,702.766793
5.218889,21,705.111287
5.218889,27,707.865844
5.732222,26,710.762198
5.047778,23,713.162559
5.561111,21,716.862289
4.791111,20,718.966863
5.817778,27,721.864321
5.903333,28,724.790639
4.876667,20,726.855233
6.331111,28,729.894551
6.93,30,732.961605
5.817778,29,735.755125
6.074444,28,738.625901
6.502222,31,741.960153
5.646667,25,744.666832
6.502222,31,749.214027
5.047778,21,751.500474
5.475556,22,753.774391
5.988889,29,756.849725
4.876667,22,759.075602
5.218889,25,761.683388
5.133333,23,763.981639
5.304444,25,766.583693
5.304444,23,769.02325
5.304444,22,771.3543
5.988889,26,774.85513
5.39,21,777.524676
5.133333,23,780.051623
5.475556,24,784.226966
7.443333,28,787.395184
5.218889,21,789.819726
7.101111,31,793.169641
6.416667,31,796.574249
6.673333,33,800.164434
5.475556,27,803.081058
5.304444,23,805.67407
6.074444,29,808.963116
6.16,29,812.163741
5.133333,27,816.578355
5.817778,25,819.605228
6.16,24,822.22421
6.673333,29,825.381894
6.16,27,828.39013
5.646667,23,830.828513
5.988889,26,833.681259
5.817778,30,836.975011
5.817778,30,840.319112
5.475556,28,843.439346
6.245556,28,846.510204
5.646667,29,851.227538
6.16,27,854.439557
7.101111,29,857.61058
7.443333,31,861.173445
4.534444,21,863.643776
6.93,29,867.234691
4.62,22,869.982615
4.962222,25,873.044327
6.587778,30,876.747934
6.245556,26,879.373419
6.758889,33,884.089416
6.074444,29,887.22084
5.304444,23,889.829401
6.502222,27,892.629988
5.732222,22,894.98687
6.074444,27,897.689822
6.844444,27,900.351123
5.988889,24,902.940158
6.331111,31,906.464583
5.646667,25,909.038308
6.844444,32,912.443965
6.331111,27,916.551453
6.587778,29,919.840073
5.218889,23,922.216466
6.331111,28,925.170593
6.074444,28,928.171084
7.357778,26,930.742536
6.074444,28,933.716861
5.304444,25,936.27607
5.903333,24,938.849324
4.876667,21,941.01698
6.416667,30,944.011662
6.758889,29,947.002601
6.587778,28,951.384751
5.903333,27,954.139586
6.587778,27,957.021944
5.988889,29,959.78393
6.673333,30,962.666147
5.988889,28,965.773051
5.475556,25,968.360717
6.416667,28,971.364528
6.758889,33,974.582795
5.475556,22,976.814424
6.331111,26,979.448343
5.304444,27,983.679063
4.791111,19,985.729338
6.93,31,989.003548
7.357778,33,992.316351
7.101111,32,995.334128
6.074444,30,998.488675
7.357778,33,1001.934461
4.705556,20,1004.012545
7.015556,28,1006.814754
6.502222,27,1009.460964
6.331111,29,1012.600546
6.587778,29,1015.512133
6.245556,25,1019.525897
6.673333,25,1022.183148
7.015556,30,1025.208096
7.272222,31,1028.262467
7.614444,32,1031.537234
7.443333,32,1034.87624
6.074444,24,1037.390431
5.817778,28,1040.129988
6.074444,25,1042.590422
5.475556,30,1045.936382
6.93,30,1049.101588
6.587778,29,1053.491464
7.015556,29,1056.309354
6.331111,29,1059.124794
6.502222,30,1062.166495
6.074444,25,1064.657306
6.673333,27,1067.534878
6.93,32,1070.652076
6.16,29,1073.607989
6.587778,27,1076.40962
6.844444,29,1079.487566
6.16,27,1082.40707
7.443333,31,1086.959946
6.416667,31,1090.050257
5.988889,24,1092.405854
5.903333,22,1094.51754
6.074444,28,1097.34615
6.16,29,1100.239775
6.416667,24,1102.603092
5.817778,23,1104.95984
5.903333,24,1107.451967
6.673333,32,1110.787729
6.93,31,1114.049717
6.074444,29,1118.300861
7.614444,30,1121.27263
5.646667,24,1123.718305
6.16,25,1126.293036
5.133333,23,1128.432719
7.186667,34,1131.795124
6.16,24,1134.148565
6.502222,27,1136.84784
6.245556,25,1139.327485
5.817778,27,1142.435657
6.331111,28,1145.335129
7.443333,33,1148.902615
8.042222,35,1153.650329
7.528889,36,1157.337997
5.988889,31,1160.263909
7.443333,37,1163.88496
7.528889,33,1167.298598
7.015556,30,1170.546931
5.903333,26,1173.449479
6.245556,26,1176.297149
7.357778,29,1179.387258
6.673333,34,1182.809608
6.93,27,1186.694733
7.186667,32,1190.051525
6.93,32,1193.126312
6.587778,28,1195.796838
6.673333,33,1198.907446
7.015556,33,1202.190548
7.528889,39,1206.178308
7.272222,36,1210.200449
7.528889,38,1213.985046
7.871111,36,1218.884501
7.272222,34,1222.426305
7.871111,33,1225.661386
7.101111,30,1228.468233
6.502222,28,1231.007501
6.844444,33,1234.546114
8.127778,35,1238.03113
7.614444,34,1241.87129
6.416667,27,1244.528895
8.298889,39,1248.53698
6.245556,26,1252.353152
6.93,30,1255.260192
7.015556,31,1258.308934
7.186667,35,1261.496675
7.871111,36,1264.968316
7.871111,34,1268.559565
6.331111,36,1272.294941
5.646667,26,1275.190156
7.528889,31,1278.281265
7.101111,30,1281.3628
6.93,33,1285.79307
7.614444,32,1289.136703
6.93,31,1291.936403
7.186667,31,1294.718914
7.871111,31,1297.719093
5.903333,24,1300.290047
6.758889,33,1303.656905
7.101111,30,1306.876766
7.272222,29,1309.764874
7.272222,36,1313.515758
7.443333,31,1317.784055
6.16,28,1320.68061
7.272222,34,1323.810624
6.16,29,1326.305282
5.732222,24,1328.528572
6.587778,33,1332.094175
6.074444,26,1334.736384
6.844444,30,1337.684542
