# {"t_start": 1753442983.7525103, "env_id": "PctDiscrete-v0"} 
r,l,t
4.534444,21,2.677585
4.534444,21,3.348176
3.336667,13,3.763749
1.711111,8,4.116866
4.192222,22,4.859033
4.021111,21,5.746907
4.705556,23,6.535486
4.448889,21,7.294282
4.791111,21,8.137882
4.106667,20,8.811416
4.705556,21,9.611106
3.336667,12,10.024866
5.218889,25,10.934014
4.277778,21,11.739639
4.021111,20,12.39188
4.791111,21,13.223252
4.448889,20,13.946309
2.053333,10,14.328111
3.593333,19,15.101685
5.047778,25,16.052113
4.363333,21,17.031622
3.336667,15,17.599619
3.678889,17,18.206646
5.903333,25,19.219359
3.251111,15,19.770388
5.561111,30,21.118941
4.106667,19,21.849045
2.908889,13,22.313843
3.251111,17,23.058344
4.192222,20,25.021333
5.047778,25,25.95182
4.363333,20,26.790257
4.192222,20,27.554713
4.192222,20,28.429356
2.908889,12,28.866277
4.106667,19,29.589807
3.165556,14,30.220682
4.106667,20,31.008738
5.561111,24,31.888835
5.218889,26,32.896531
3.85,18,33.518709
2.994444,12,34.109396
3.935556,18,34.692134
4.791111,19,35.409033
3.85,15,36.108498
5.561111,27,37.125312
4.363333,21,38.02311
4.791111,22,38.795079
4.277778,18,39.474597
5.39,27,40.582587
4.791111,23,41.440415
4.534444,24,42.481524
3.08,12,42.860095
3.678889,17,43.405537
4.705556,23,44.307494
5.304444,22,45.057095
4.106667,17,45.80073
3.678889,19,46.58186
5.218889,27,47.698306
4.021111,19,48.491378
4.876667,20,49.263314
3.678889,17,49.970425
4.705556,21,50.795969
4.962222,23,51.831093
4.192222,21,52.705882
2.652222,13,53.287094
3.08,16,54.033383
3.165556,14,54.568786
4.534444,22,55.366767
4.705556,23,56.423645
4.448889,22,58.332484
2.566667,10,58.713589
5.218889,22,59.713035
3.85,19,60.420939
5.133333,29,61.701036
3.593333,18,62.509503
3.764444,20,63.423538
4.277778,20,64.210827
4.448889,18,64.909211
5.133333,28,66.057407
4.62,21,66.889405
3.251111,16,67.607606
4.277778,20,68.350188
3.165556,15,68.906309
3.678889,15,69.584018
2.994444,18,70.376387
1.967778,11,70.830429
5.047778,22,71.885243
4.277778,20,72.672914
4.876667,24,73.526685
4.363333,20,74.342564
4.876667,18,75.002397
4.106667,22,75.949258
3.85,17,76.624512
4.192222,23,77.484678
3.935556,19,78.378673
4.62,21,79.177198
4.791111,23,80.234573
1.454444,6,80.494081
5.39,24,81.530566
4.62,19,82.487354
3.85,18,83.171615
4.192222,22,84.158146
4.62,22,85.03091
4.791111,25,85.951537
3.507778,16,86.621029
5.903333,25,87.610997
4.791111,22,88.614603
3.935556,18,89.346228
3.935556,17,90.054486
4.021111,19,92.167706
4.791111,21,92.965088
4.62,20,93.898471
3.593333,17,94.559619
4.192222,22,95.508135
3.507778,15,96.262558
3.593333,20,97.13071
4.876667,18,97.837796
4.876667,21,98.733135
4.277778,20,99.563902
2.994444,16,100.336139
3.422222,14,100.80566
4.021111,18,101.552566
5.133333,26,102.691247
2.566667,12,103.207075
3.251111,14,103.679168
5.304444,24,104.703332
3.251111,12,105.251006
1.796667,9,105.554531
5.047778,24,106.610534
3.764444,19,107.363528
4.705556,27,108.457795
4.277778,20,109.255151
5.218889,23,110.237474
5.218889,22,111.259532
4.62,20,112.064454
4.021111,17,112.859578
3.165556,16,113.4684
5.047778,27,114.472118
4.448889,20,115.292104
1.454444,8,115.606311
4.534444,20,116.388736
3.85,18,117.270161
5.218889,27,118.346459
4.363333,24,119.415808
5.646667,23,120.387865
4.876667,24,121.526326
3.165556,19,122.345027
5.218889,23,123.403066
3.678889,15,124.014174
1.882222,10,125.683394
3.85,19,126.400386
5.047778,22,127.428443
4.277778,18,128.107468
4.021111,20,129.042301
2.395556,10,129.452524
4.62,24,130.394358
5.047778,22,131.408864
4.277778,18,132.105473
5.047778,23,133.189047
4.876667,25,134.225124
4.448889,20,135.19493
4.534444,22,136.110153
4.448889,21,136.902494
2.31,11,137.489779
3.678889,15,138.121441
5.646667,22,138.945798
4.705556,24,139.975373
4.363333,24,140.893535
3.593333,15,141.570912
5.304444,23,142.489283
3.678889,16,143.132252
6.245556,26,144.300713
5.133333,27,145.343729
4.705556,22,146.239205
4.791111,21,147.146238
5.047778,23,148.08513
3.85,18,148.867677
4.876667,19,149.859643
4.62,22,150.679909
3.165556,16,151.342884
4.277778,16,152.009124
5.047778,21,152.863795
3.593333,15,153.469767
4.106667,21,154.375688
3.764444,17,155.037313
4.62,23,156.091581
5.903333,24,157.022389
5.988889,33,159.47008
4.791111,20,160.292082
4.448889,22,161.348088
4.534444,18,162.012681
5.218889,20,162.769145
3.678889,19,163.651297
5.475556,23,164.604371
4.791111,22,165.539085
4.62,19,166.277918
4.62,23,167.166151
3.678889,20,168.090961
3.593333,16,168.789793
3.935556,20,169.724588
4.192222,18,170.407525
4.192222,20,171.223027
5.39,25,172.392019
4.705556,18,173.118866
4.363333,21,174.01338
3.165556,18,174.746022
3.251111,18,175.428832
4.106667,18,176.268647
4.363333,18,177.025785
3.678889,18,177.787746
4.021111,23,178.908869
4.876667,23,179.803961
4.705556,23,180.852342
3.422222,15,181.48629
5.903333,25,182.596889
2.737778,11,182.989112
3.593333,14,183.524806
3.165556,15,184.076992
5.133333,27,185.279807
4.705556,20,186.093061
3.251111,17,186.966849
4.705556,21,187.812025
2.566667,13,188.317075
4.791111,23,189.438241
4.962222,21,190.281839
4.277778,20,192.38473
2.053333,10,192.863041
4.448889,16,193.53551
3.08,16,194.251143
5.475556,23,195.276209
4.705556,21,196.177596
3.935556,17,197.066067
4.192222,18,197.745061
4.363333,23,198.754013
4.62,21,199.705569
4.876667,26,200.813534
2.31,9,201.412819
4.62,22,202.541704
3.764444,18,203.282474
5.133333,19,204.197155
4.534444,18,204.955544
5.732222,25,206.020717
5.817778,23,206.874745
5.133333,22,207.878008
4.62,24,208.822368
5.133333,24,209.856486
4.534444,17,210.718261
3.422222,16,211.334395
5.561111,21,212.25323
3.85,16,212.901489
4.363333,19,213.658348
4.705556,18,214.487509
4.534444,24,215.416399
3.935556,16,216.09833
3.336667,16,216.84269
4.534444,19,217.660001
4.277778,18,218.374833
4.277778,18,219.296553
4.876667,20,220.104571
6.074444,25,221.196936
4.363333,19,221.999712
4.021111,20,222.908626
1.882222,9,223.211063
5.475556,22,225.292686
4.534444,21,226.19332
5.475556,23,227.144833
6.587778,27,228.243589
4.62,18,229.027017
4.962222,23,229.909951
4.363333,25,231.064906
5.39,29,232.304053
5.903333,25,233.410707
6.245556,29,234.703185
4.363333,19,235.557387
5.988889,28,236.646359
4.876667,20,237.56532
4.791111,20,238.42837
5.561111,23,239.49438
5.475556,27,240.620831
5.988889,30,242.065868
5.304444,25,243.157463
5.988889,25,244.422264
5.903333,29,245.717458
6.331111,27,246.899621
4.791111,19,247.69198
4.876667,21,248.660114
4.876667,22,249.609054
5.646667,24,250.855303
4.791111,20,251.695462
4.192222,19,252.508862
4.962222,26,253.814866
5.903333,26,255.032765
