# {"t_start": 1753519640.8536994, "env_id": "PctContinuous-v0"} 
r,l,t
5.39,24,4.094801
4.962222,21,5.873654
4.705556,26,8.414744
3.165556,17,11.018128
3.251111,18,12.794655
3.507778,17,14.320523
5.218889,23,16.445966
3.336667,14,17.70992
5.218889,21,19.657894
3.593333,16,21.206154
3.935556,19,23.194268
3.85,20,25.098078
3.336667,19,26.912555
4.534444,18,28.87054
4.106667,19,30.786354
5.133333,24,33.045595
4.363333,18,34.711654
3.935556,17,36.427653
5.732222,23,38.933262
2.994444,15,40.654577
4.021111,20,43.0978
5.39,22,46.642398
5.304444,20,48.800089
3.336667,14,50.270029
4.962222,23,52.845109
4.106667,20,55.390939
4.106667,19,57.555278
2.481111,12,58.962746
3.764444,16,60.803979
4.363333,22,63.410572
3.764444,18,65.40239
5.218889,21,67.863775
5.047778,23,70.365327
2.224444,11,71.373096
4.534444,22,73.968792
2.395556,10,75.108479
4.021111,18,78.637072
6.074444,32,81.971337
2.481111,15,83.669659
4.021111,21,86.09634
3.85,21,88.425361
4.962222,23,91.146545
4.277778,20,93.357287
5.475556,29,96.664234
3.165556,14,97.990434
3.935556,16,99.849122
5.218889,20,102.142365
3.251111,14,103.396384
3.935556,20,105.646189
4.705556,19,108.033576
4.277778,23,111.667521
5.218889,21,113.987375
4.448889,18,116.091673
3.336667,15,117.778469
3.935556,18,120.010173
3.764444,18,121.961194
3.336667,17,123.808295
4.106667,22,126.32484
2.053333,12,127.525251
4.534444,21,129.675062
1.026667,4,130.111484
4.705556,23,132.745376
5.133333,20,134.974368
4.876667,21,137.406042
5.218889,25,140.201251
3.251111,14,141.9627
5.304444,23,145.420944
3.165556,15,147.037055
4.705556,20,149.485922
3.422222,16,151.205881
3.165556,16,153.023763
3.935556,17,155.018349
3.935556,20,157.251559
4.277778,22,159.592401
2.994444,16,161.476194
4.962222,20,163.655612
4.106667,20,166.051915
4.363333,16,167.770219
2.395556,13,169.190322
4.791111,18,171.339412
4.363333,22,173.778534
3.678889,16,175.612557
4.448889,21,179.179253
4.534444,21,181.448526
4.106667,17,183.367005
5.304444,26,186.395202
5.646667,21,188.7099
4.192222,20,191.062559
