# {"t_start": 1753519640.8711708, "env_id": "PctContinuous-v0"} 
r,l,t
3.764444,18,3.62256
4.106667,15,4.895714
3.85,18,6.572876
3.507778,18,8.19884
3.85,18,9.765829
4.363333,20,12.833128
4.876667,25,15.170123
3.507778,17,16.615947
3.935556,19,18.428873
3.593333,15,19.784808
4.448889,18,21.609219
4.705556,21,23.733028
3.593333,17,25.325211
3.935556,15,26.776658
4.876667,25,29.457791
5.047778,23,31.684516
4.448889,19,33.48087
4.106667,19,35.263801
5.39,20,37.372356
4.106667,22,39.877172
4.705556,23,42.463826
4.876667,24,46.340887
4.705556,22,48.782142
3.85,18,50.674386
3.507778,16,52.365771
3.678889,17,54.519524
4.448889,22,57.151159
4.106667,17,59.2086
4.62,23,61.928505
3.678889,16,63.724983
3.251111,18,65.744535
5.561111,20,68.029218
4.106667,19,70.195618
4.705556,23,72.597883
4.277778,20,74.80492
3.764444,15,78.031478
5.133333,24,80.640912
6.587778,28,83.621988
4.363333,16,85.528333
3.507778,19,87.653853
4.106667,18,89.579567
2.652222,12,91.122525
4.534444,20,93.348594
3.935556,17,95.193567
3.593333,18,97.2038
3.764444,18,99.099764
4.021111,20,101.380282
3.593333,14,102.786576
5.475556,23,105.362826
4.962222,25,108.346867
4.62,23,111.916534
4.62,18,113.966488
3.165556,16,115.783221
4.791111,21,118.18062
3.507778,14,119.967995
4.277778,18,121.9542
4.876667,22,124.323738
1.967778,9,125.453484
3.764444,16,127.079711
3.336667,16,128.707825
3.507778,17,130.649831
3.935556,22,133.002072
5.732222,29,136.460385
4.192222,21,138.702684
3.764444,15,140.38723
5.646667,24,143.212288
3.593333,18,146.199918
3.336667,13,147.59304
5.218889,25,150.56896
5.817778,23,153.117
2.053333,12,154.53451
3.593333,18,156.591756
6.074444,28,159.585913
3.336667,16,161.435754
3.85,17,163.288614
4.192222,18,165.50023
4.62,21,167.743433
5.475556,27,170.712728
5.304444,24,173.573003
3.251111,17,175.391433
4.534444,19,178.785622
3.935556,15,180.417449
4.448889,19,182.566185
3.507778,16,184.441463
3.08,12,185.838544
5.39,23,188.31291
3.165556,14,190.066179
4.962222,23,192.540392
4.62,22,195.024902
5.218889,24,197.705032
3.85,16,199.434775
3.678889,19,201.654162
4.363333,22,204.140984
4.448889,20,206.578506
4.705556,19,208.501344
4.962222,25,212.442826
4.448889,18,214.599502
4.62,19,216.646642
3.935556,16,218.712786
3.85,19,220.787615
3.507778,17,222.697933
2.908889,12,223.951789
5.561111,25,226.754612
4.791111,19,228.873041
2.652222,11,230.190382
2.395556,13,231.602175
4.277778,23,234.098799
4.363333,22,236.668223
4.277778,18,238.600958
4.021111,19,240.614961
4.705556,27,243.855423
4.62,22,247.537538
3.678889,15,249.287583
5.475556,27,252.216911
3.85,16,254.121171
4.448889,19,256.099759
3.678889,18,258.126282
3.251111,17,260.100658
4.962222,24,262.805951
3.422222,13,264.437387
4.705556,24,267.230712
3.422222,17,269.11501
6.245556,25,271.924314
3.85,20,274.111871
5.047778,23,276.944441
4.962222,23,280.676114
3.593333,17,282.616092
4.106667,17,284.632714
5.732222,23,287.171309
4.62,22,289.524744
4.448889,22,292.003563
4.62,20,294.320167
4.962222,22,296.882457
3.85,15,298.617216
4.448889,19,300.939921
3.935556,19,302.930268
4.277778,21,305.290532
5.304444,26,308.278553
4.705556,21,310.610204
5.047778,22,314.290876
1.967778,8,315.173626
3.678889,19,317.36208
3.85,18,319.425607
2.823333,12,320.766457
6.16,27,323.814343
4.277778,20,326.143441
0.941111,5,326.661239
3.251111,15,328.319941
4.448889,22,330.898192
4.62,22,333.311716
4.106667,19,335.49378
5.561111,30,338.984072
3.507778,22,341.595907
6.331111,30,346.211133
4.705556,20,348.639966
2.652222,14,350.114762
3.678889,17,351.902233
4.534444,20,354.179563
4.534444,19,356.229832
2.31,11,357.451581
4.62,22,360.006752
