# {"t_start": 1753442983.7930942, "env_id": "PctDiscrete-v0"} 
r,l,t
5.39,24,2.705468
4.363333,22,3.444265
4.277778,17,4.080534
2.31,13,4.578842
2.053333,12,4.95942
3.593333,14,5.464764
3.678889,16,6.098734
3.165556,14,6.624501
4.106667,20,7.35506
5.047778,20,8.124525
3.764444,19,8.776775
5.047778,22,9.609093
5.218889,21,10.361546
3.251111,16,10.937541
4.277778,21,11.77981
3.593333,18,12.331702
4.106667,20,13.086067
4.791111,17,13.716701
4.62,18,14.409995
3.507778,15,15.044854
4.192222,17,15.71761
4.363333,21,16.486033
2.737778,14,17.201638
3.85,20,17.932039
4.705556,22,18.721554
3.85,17,19.423127
3.422222,15,20.007372
4.705556,26,21.217011
3.422222,18,21.862267
4.62,19,22.577621
4.876667,23,23.53313
4.534444,22,25.556292
4.192222,19,26.376205
3.935556,22,27.187743
3.422222,16,27.790637
2.823333,11,28.375681
4.448889,19,29.045546
3.422222,17,29.731766
3.507778,16,30.407694
3.85,15,30.99737
4.534444,21,31.750512
6.16,24,32.705722
4.876667,26,33.638896
3.764444,14,34.252475
4.277778,19,34.951067
4.534444,16,35.522767
4.021111,20,36.415149
5.047778,24,37.282365
2.908889,13,37.743417
1.454444,7,38.187054
5.047778,19,38.87965
3.764444,16,39.436325
3.678889,18,40.201602
4.534444,17,40.871637
3.422222,13,41.293516
4.705556,18,42.108413
3.422222,17,42.69996
2.737778,14,43.166546
2.823333,13,43.743205
3.678889,13,44.131943
4.021111,20,44.846072
3.593333,17,45.571373
4.021111,21,46.408546
3.422222,18,47.142226
4.106667,18,47.89534
4.534444,23,48.861967
4.021111,20,49.718108
3.507778,17,50.309638
4.021111,21,51.189882
4.448889,20,52.071528
4.192222,18,52.85419
3.593333,18,53.648358
4.62,21,54.534291
2.395556,10,54.888244
4.192222,24,55.945187
4.448889,19,56.673511
2.395556,10,57.054594
3.08,13,58.65006
3.764444,19,59.511101
5.047778,25,60.493375
2.053333,9,60.879065
3.165556,14,61.485555
5.218889,20,62.353998
2.737778,14,62.936677
4.021111,17,63.724164
3.593333,15,64.34111
4.363333,19,65.059786
4.791111,25,66.074738
5.133333,24,67.049095
3.336667,15,67.726676
5.304444,20,68.486388
3.935556,21,69.246897
5.475556,24,70.36295
4.363333,22,71.338919
5.047778,24,72.319242
4.363333,20,73.122263
4.791111,22,74.061184
3.165556,16,74.61066
3.764444,16,75.178896
2.908889,12,75.814728
2.737778,12,76.231843
3.593333,16,76.828286
3.764444,18,77.708933
3.678889,14,78.261709
4.106667,20,79.03762
3.336667,14,79.536112
3.764444,18,80.425575
3.764444,15,81.080289
4.192222,21,82.055072
2.994444,12,82.639766
4.192222,21,83.435825
5.475556,24,84.512107
3.251111,17,85.148542
4.876667,22,85.941319
3.935556,20,86.784517
3.507778,16,87.472541
3.764444,17,88.224347
3.08,16,88.854156
5.218889,23,89.789264
4.791111,21,91.971688
4.534444,19,92.739049
4.876667,24,93.841858
3.678889,19,94.55282
2.908889,16,95.26323
3.593333,19,96.105465
4.876667,22,97.120401
3.85,18,97.828758
4.791111,25,98.929184
2.994444,14,99.500302
4.106667,22,100.487186
2.994444,18,101.157043
1.711111,11,101.560921
4.363333,19,102.452
3.678889,18,103.192793
4.62,20,103.947275
4.106667,22,104.891396
3.85,19,105.658255
3.507778,16,106.392792
5.561111,23,107.304702
4.62,19,108.064808
5.39,25,109.120106
2.652222,12,109.564785
3.85,21,110.552816
3.764444,15,111.193742
3.764444,13,111.746175
3.336667,13,112.214373
3.336667,18,113.036171
3.251111,17,113.684738
3.507778,15,114.244208
