# {"t_start": 1753442983.7756093, "env_id": "PctDiscrete-v0"} 
r,l,t
4.962222,23,2.701096
4.534444,18,3.310179
2.566667,15,3.88682
3.507778,18,4.490406
4.106667,21,5.202658
4.277778,22,6.090915
4.62,25,7.011861
4.62,23,7.856496
3.08,16,8.451632
4.876667,21,9.16624
4.106667,17,9.83179
4.62,21,10.573663
5.218889,25,11.551385
4.363333,21,12.2694
4.363333,20,13.027096
4.277778,22,13.79331
5.39,26,14.799053
3.935556,20,15.610398
5.304444,24,16.526643
4.791111,21,17.470754
3.336667,15,18.024447
4.448889,20,18.75893
4.277778,21,19.623412
3.85,19,20.408515
2.908889,14,21.099796
4.021111,16,21.696441
3.764444,19,22.416955
4.106667,19,23.209129
2.908889,14,24.976578
4.962222,23,25.791164
2.737778,12,26.369392
2.908889,12,26.793352
4.192222,21,27.57946
2.994444,17,28.38654
4.192222,17,29.020993
4.62,20,29.777075
3.08,19,30.599417
3.507778,16,31.192043
3.935556,16,31.758892
5.561111,28,32.873684
1.54,6,33.086707
3.85,14,33.604574
4.534444,29,34.746101
4.277778,19,35.412525
3.85,22,36.411937
3.85,19,37.103541
3.935556,18,37.738686
4.876667,19,38.578269
5.047778,22,39.34345
4.106667,22,40.317003
5.39,23,41.132565
4.876667,22,42.088558
3.336667,14,42.623614
2.994444,13,43.018326
3.678889,18,43.759251
3.85,16,44.28499
2.395556,13,44.769215
4.791111,18,45.372228
4.021111,18,46.188422
4.534444,20,47.002031
3.935556,22,47.909666
3.507778,19,48.695299
1.54,7,48.950627
3.507778,16,49.711953
2.737778,18,50.319361
2.994444,16,50.979995
2.994444,18,51.811128
5.133333,19,52.621941
4.962222,21,53.495283
5.047778,28,54.703091
4.277778,18,55.345277
3.08,14,56.023565
2.994444,14,56.601966
5.903333,26,58.665406
3.507778,16,59.38205
5.39,23,60.326778
3.507778,16,60.947117
3.507778,17,61.712833
4.791111,22,62.68904
4.705556,23,63.652699
3.507778,16,64.350128
3.935556,22,65.201986
4.62,24,66.21239
3.336667,16,66.841357
4.62,21,67.745111
2.908889,15,68.302575
3.678889,17,68.976075
4.962222,22,69.921431
3.935556,19,70.761764
1.54,6,70.975079
3.251111,15,71.717264
3.507778,17,72.330871
4.534444,27,73.432687
1.967778,11,73.904519
4.448889,18,74.58249
3.764444,17,75.172008
2.908889,16,75.903546
4.791111,24,76.817033
3.422222,14,77.379556
3.336667,16,78.13697
2.737778,12,78.570038
3.935556,18,79.290714
5.732222,25,80.4395
4.791111,21,81.328425
2.652222,12,81.99884
2.737778,12,82.488367
4.363333,20,83.282399
3.165556,16,83.892474
5.047778,22,84.932345
2.994444,14,85.3865
5.817778,24,86.379791
4.192222,23,87.32416
4.106667,17,87.971228
4.448889,18,88.816151
4.448889,19,89.592241
4.876667,20,90.505268
3.507778,17,92.393486
4.277778,16,92.998226
4.192222,19,93.902101
5.133333,25,94.936682
3.422222,13,95.48555
5.732222,28,96.752297
5.646667,20,97.600109
1.796667,7,98.087435
3.678889,16,98.627719
3.08,16,99.292439
4.277778,20,100.17325
4.534444,16,100.75691
3.165556,14,101.340577
4.62,23,102.365801
4.62,21,103.208554
3.935556,18,103.848948
4.534444,23,104.880307
2.138889,9,105.249547
5.561111,25,106.354729
4.962222,21,107.160835
5.304444,25,108.119989
4.192222,21,109.018572
4.192222,18,109.764315
5.39,26,110.965848
4.534444,23,111.93701
3.764444,19,112.726168
4.106667,18,113.445581
3.764444,18,114.157502
4.277778,20,114.98936
4.534444,19,115.640763
1.882222,7,115.949183
3.165556,12,116.400518
4.534444,22,117.460024
4.876667,20,118.277097
4.106667,22,119.198942
5.817778,24,120.267431
3.251111,15,121.043157
5.218889,20,121.867877
3.422222,18,122.585024
5.047778,20,123.511078
3.593333,14,125.30874
5.39,22,126.275672
5.561111,26,127.40888
