# {"t_start": 1753519640.7163324, "env_id": "PctContinuous-v0"} 
r,l,t
3.507778,14,3.438452
4.192222,18,4.978371
5.475556,24,7.242269
6.331111,26,9.484203
5.304444,21,12.527894
3.251111,15,14.02976
5.133333,25,16.26314
3.764444,15,17.727186
3.935556,20,19.487605
4.192222,18,21.265095
4.363333,18,23.103103
4.192222,18,24.858927
1.368889,6,25.392372
4.448889,18,27.343538
3.85,17,28.999682
6.16,26,31.511569
4.876667,24,33.784148
3.165556,13,35.09516
2.994444,16,36.623956
4.363333,16,38.381617
4.192222,19,40.634451
2.652222,12,41.958784
4.534444,20,45.322443
4.021111,19,47.54088
2.652222,13,48.910635
5.304444,22,51.224142
4.277778,20,53.605291
5.047778,24,56.492464
4.534444,21,58.985344
4.277778,23,61.766354
3.507778,17,63.641142
3.764444,17,65.536692
5.047778,21,68.00649
4.962222,22,70.402358
1.967778,10,71.35037
3.935556,22,73.838183
2.566667,12,75.231553
4.62,19,78.957861
4.363333,23,81.259564
4.448889,21,83.487686
4.791111,16,85.478162
3.08,16,87.227806
2.823333,13,88.624623
5.475556,28,91.889313
4.363333,17,93.754925
2.224444,12,95.179142
4.62,21,97.451262
3.251111,18,99.430067
4.277778,18,101.367608
4.363333,23,103.813515
4.534444,20,106.059519
4.192222,17,108.180083
3.935556,19,110.185122
4.791111,20,113.484799
2.224444,9,114.605565
4.705556,26,117.550572
4.277778,20,120.039716
3.593333,20,122.182007
4.106667,14,123.75411
4.021111,18,125.737637
3.85,18,127.65959
4.192222,16,129.275107
4.363333,15,130.956725
2.908889,14,132.49235
4.534444,24,135.208296
3.165556,14,136.961883
2.994444,12,138.209808
4.448889,17,140.06338
3.593333,16,142.099972
2.652222,14,143.574486
4.448889,20,146.710534
3.507778,21,149.296316
3.336667,16,151.056369
4.962222,24,153.717621
5.047778,24,156.486208
5.047778,25,159.198227
3.08,17,161.166834
4.277778,20,163.329399
3.935556,18,165.316994
2.31,16,167.254475
5.133333,22,169.70603
4.363333,20,172.017197
4.791111,22,174.431347
3.507778,17,176.322136
3.593333,16,179.385278
4.448889,19,181.496748
4.021111,18,183.499011
3.251111,14,185.150007
4.534444,23,187.733425
4.534444,22,190.351766
4.62,22,192.67415
4.534444,21,195.076553
4.448889,19,197.226405
4.705556,21,199.486178
4.705556,25,202.364988
4.62,22,204.900604
3.251111,17,206.991512
4.192222,26,209.631259
3.251111,15,212.5013
4.106667,15,214.297311
4.448889,18,216.207643
4.705556,19,218.329747
4.021111,20,220.827931
3.935556,19,222.952459
4.962222,20,225.184257
4.705556,22,227.570534
4.192222,19,229.69382
3.507778,18,231.773801
4.363333,18,233.711844
2.994444,15,235.377862
4.705556,19,237.554707
