# {"t_start": 1753519640.6929758, "env_id": "PctContinuous-v0"} 
r,l,t
1.882222,7,2.847816
3.764444,18,4.342043
4.277778,20,6.040323
4.363333,18,7.84038
4.962222,22,9.752532
4.192222,21,12.911394
3.85,19,14.602078
2.994444,15,15.996183
5.39,25,18.318787
5.304444,27,20.850782
2.138889,9,21.751435
4.448889,18,23.609053
4.277778,18,25.33728
4.106667,21,27.518734
3.764444,20,29.568673
4.62,23,31.770154
2.737778,10,32.75166
5.133333,25,35.0833
3.935556,16,36.640331
4.021111,19,38.797783
4.534444,23,41.404846
3.422222,13,43.040001
3.85,18,46.0088
3.678889,20,48.252449
3.678889,15,49.907739
5.218889,27,52.900153
3.165556,15,54.686638
4.021111,22,57.273628
4.106667,19,59.590476
3.764444,17,61.633182
3.764444,15,63.312635
3.593333,17,65.236198
3.593333,15,67.038011
4.705556,20,69.322445
4.277778,22,71.454027
3.678889,20,73.76321
4.021111,17,75.729761
4.791111,22,79.831082
3.251111,15,81.163957
3.935556,18,83.150562
5.39,27,86.240797
4.791111,21,88.566577
2.138889,12,89.919617
3.251111,15,91.735252
4.277778,19,93.777698
3.764444,22,96.359419
4.534444,24,98.890537
2.481111,10,100.007024
3.85,21,102.369168
3.165556,15,103.854906
2.566667,10,104.976685
2.395556,12,106.28689
4.106667,20,108.732566
2.31,11,109.875709
6.331111,29,114.259065
5.218889,27,117.342173
3.85,19,119.506799
4.62,22,122.091161
2.823333,14,123.703444
4.876667,23,126.214583
3.85,15,127.782863
2.053333,9,128.703993
2.138889,9,129.658422
3.85,15,131.349254
5.133333,20,133.567064
4.021111,16,135.342532
3.593333,15,137.119354
4.876667,19,139.244048
4.363333,20,141.484995
2.652222,12,142.933013
3.678889,17,145.836076
3.935556,16,147.543782
3.85,20,149.977221
4.791111,22,152.339228
3.507778,19,154.63533
3.507778,16,156.421454
5.304444,22,158.856302
5.475556,24,161.46627
1.796667,11,162.715644
3.336667,17,164.577554
5.218889,23,167.25482
5.133333,23,169.828803
2.224444,9,170.787839
2.994444,12,172.238667
3.422222,15,173.930957
3.764444,21,176.264619
4.106667,19,179.620435
4.192222,20,181.793871
5.218889,24,184.617394
5.218889,21,186.889503
4.277778,23,189.731392
3.507778,18,191.633846
4.277778,17,193.405308
5.39,24,196.195165
5.133333,23,198.706998
5.475556,26,201.719872
4.534444,20,204.00898
3.593333,16,205.901171
4.534444,19,207.945242
4.277778,22,210.283866
5.218889,21,213.949441
4.277778,19,216.061174
5.047778,20,218.273765
4.448889,20,220.783192
2.994444,19,222.860896
3.251111,20,225.066869
4.277778,18,226.998952
1.454444,6,227.751521
3.593333,16,229.509294
5.304444,22,232.01105
2.652222,10,233.110278
4.534444,19,235.199028
4.962222,24,237.91654
3.422222,15,239.580161
5.475556,22,242.038238
4.534444,25,246.124424
3.935556,20,248.479052
5.047778,24,251.101948
3.678889,19,253.214917
6.16,27,256.145936
