# {"t_start": 1753519640.8058965, "env_id": "PctContinuous-v0"} 
r,l,t
4.62,20,3.82708
2.652222,14,5.029672
4.62,21,6.947569
4.192222,22,8.971834
4.106667,17,11.583632
5.047778,24,13.906011
3.507778,18,15.604549
2.224444,10,16.472301
4.192222,18,18.114056
4.876667,21,20.030035
4.106667,18,21.814255
3.593333,18,23.70649
4.106667,16,25.219033
3.165556,17,26.873432
5.646667,28,29.869404
4.705556,25,32.3105
3.935556,19,34.008443
4.62,21,36.018969
4.705556,21,38.300669
5.39,24,41.087655
3.764444,17,43.136626
4.962222,22,46.660101
4.106667,18,48.572294
4.363333,18,50.536995
2.652222,12,51.766787
3.764444,19,54.092334
3.764444,19,56.386213
4.962222,23,59.118397
3.08,14,60.770498
4.363333,19,62.962633
3.593333,14,64.603057
3.764444,19,66.849238
4.363333,22,69.290867
5.817778,27,71.986862
3.764444,17,73.982488
3.85,17,75.948936
4.106667,20,79.786611
4.705556,25,82.232742
3.507778,16,83.996386
4.705556,21,86.482122
4.534444,26,89.352463
2.31,12,90.786857
4.534444,19,92.948787
3.08,16,94.685854
4.534444,20,96.966121
4.021111,19,98.949707
4.277778,23,101.729742
4.962222,18,103.371221
4.363333,21,105.696569
3.678889,17,107.861386
4.705556,21,110.095809
4.448889,23,113.886073
5.903333,23,116.40711
3.165556,14,118.023346
5.988889,27,121.202075
1.197778,6,121.898996
1.368889,8,122.740698
4.106667,19,124.843024
5.133333,27,127.750766
1.967778,10,128.772972
3.422222,17,130.693015
3.85,19,132.779025
4.277778,17,134.636458
3.336667,15,136.509943
4.192222,18,138.458625
3.764444,15,140.160364
3.764444,16,142.093244
4.106667,18,145.056941
5.39,24,147.668516
3.336667,16,149.602477
4.876667,23,152.150653
4.192222,21,154.641609
5.732222,27,157.684183
3.251111,17,159.475724
2.395556,11,160.749659
4.363333,17,162.619718
2.224444,12,163.88101
3.336667,15,165.754014
4.277778,20,167.900102
5.133333,20,170.141255
4.534444,21,172.59411
3.678889,17,174.547982
5.133333,25,178.538454
3.678889,14,180.043525
3.593333,16,181.888347
3.85,16,183.796671
5.304444,25,186.520329
4.363333,22,188.958591
4.192222,20,191.314758
3.85,19,193.303414
3.85,17,195.249719
4.62,22,197.765738
4.106667,16,199.499551
5.475556,27,202.558269
4.705556,21,205.136445
4.277778,19,207.251034
2.481111,12,208.467971
4.705556,21,211.931117
5.133333,24,214.762286
5.133333,23,217.25538
3.764444,18,219.528074
5.218889,23,222.129521
4.448889,21,224.437532
5.475556,23,226.908433
5.475556,22,229.392552
3.422222,16,231.232216
4.192222,17,233.074004
3.507778,15,234.734814
4.363333,16,236.652312
4.791111,24,239.223925
4.448889,23,241.803483
3.593333,18,243.941936
4.021111,20,247.436262
5.988889,25,250.247913
3.593333,18,252.172508
4.448889,20,254.458837
4.106667,17,256.338073
4.192222,19,258.387831
5.561111,27,261.544725
3.593333,17,263.488305
4.62,23,266.267375
4.705556,19,268.435866
3.08,12,269.783088
4.448889,22,272.173762
4.62,21,274.545331
6.331111,29,279.112364
3.85,17,281.105665
5.561111,22,283.713821
3.08,12,285.03489
4.106667,23,287.484904
3.85,16,289.232311
5.988889,24,291.981099
1.796667,8,292.933196
4.705556,20,295.282757
3.08,17,297.161541
4.192222,20,299.446206
4.106667,20,301.804686
3.764444,17,303.715313
3.251111,15,305.369593
5.218889,21,307.773195
3.935556,19,309.970622
4.791111,26,314.043637
2.908889,12,315.371995
4.448889,20,317.594741
3.935556,18,319.749862
4.021111,20,321.95146
3.08,17,323.86617
4.534444,18,326.030037
4.106667,20,328.185922
4.791111,20,330.490017
2.994444,13,331.885889
3.678889,18,333.912176
4.277778,15,335.668974
3.251111,16,337.553922
3.935556,18,339.584272
4.705556,22,342.217006
3.422222,14,343.802033
5.304444,19,347.26157
5.304444,25,350.068804
4.876667,20,352.194751
4.705556,22,354.647598
2.737778,16,356.383228
6.245556,29,359.739973
2.31,9,360.70987
4.962222,23,363.236236
2.31,11,364.486591
4.363333,22,366.960602
4.106667,19,368.998605
5.218889,22,371.520055
4.62,21,373.825988
4.962222,18,375.804683
4.277778,22,379.549379
4.448889,18,381.539306
5.39,27,384.493493
4.448889,18,386.417011
4.62,22,389.213387
4.62,20,391.399967
4.363333,20,393.588977
5.133333,26,396.537533
4.021111,21,398.985093
4.021111,21,401.410805
5.561111,23,403.962521
3.507778,17,405.957323
3.251111,16,407.672427
5.047778,25,410.426745
3.422222,17,413.698707
4.962222,20,415.873018
3.764444,14,417.453763
3.08,18,419.5386
2.823333,14,421.196558
5.047778,21,423.534341
4.363333,24,426.18802
4.534444,18,428.209812
3.678889,18,430.376055
4.021111,18,432.29967
3.507778,14,433.869945
4.705556,21,436.36381
4.363333,20,438.612385
4.106667,18,440.580413
5.39,25,443.475778
4.791111,19,446.791395
5.047778,20,449.007163
4.277778,21,451.29885
5.39,20,453.677655
4.534444,19,455.849399
2.737778,14,457.528972
4.705556,19,459.858012
3.678889,19,461.883451
3.764444,19,463.897378
5.304444,25,466.649776
3.422222,21,469.058686
4.534444,20,471.514053
5.903333,23,473.991167
4.791111,21,476.36614
5.475556,27,480.397132
3.422222,14,482.002369
5.39,21,484.391562
4.876667,21,486.755972
4.448889,21,489.22185
5.732222,23,491.894895
4.021111,18,493.855303
3.422222,18,495.872173
4.363333,22,498.214072
4.363333,17,500.191737
3.764444,16,501.943933
4.363333,18,503.967708
4.448889,19,506.127104
5.39,23,508.679033
3.764444,22,511.153884
4.791111,24,515.169354
4.277778,16,517.044355
5.475556,21,519.657602
1.711111,9,520.619936
5.218889,20,522.843132
5.304444,26,525.869177
6.758889,27,528.679592
4.192222,21,531.011468
3.85,17,532.885304
4.534444,21,535.255069
4.962222,25,537.94558
2.395556,13,539.339401
4.021111,17,541.362282
5.817778,27,544.291494
4.705556,21,548.061876
4.534444,19,550.193024
4.791111,20,552.633558
4.534444,20,554.995366
5.218889,22,557.47677
5.133333,22,559.888639
5.39,24,562.520082
4.363333,18,564.544497
2.481111,13,565.949824
3.85,17,567.725247
4.791111,23,570.434117
4.277778,21,572.753578
4.791111,17,574.645004
3.507778,22,577.137642
4.192222,20,580.664881
6.16,26,583.7649
5.218889,24,586.489799
4.962222,21,588.935059
4.363333,23,591.222646
5.218889,24,593.870605
4.876667,25,596.648881
4.705556,19,598.739688
5.133333,22,601.366295
4.021111,20,603.65692
4.791111,23,606.244321
4.363333,18,608.215572
5.732222,23,610.928052
4.791111,21,614.682569
3.507778,17,616.632698
5.732222,24,619.600482
5.988889,33,623.410214
4.705556,19,625.261447
6.074444,26,628.085142
5.047778,26,630.990575
4.962222,24,633.753913
4.62,23,636.378149
5.732222,24,638.977524
5.304444,26,641.979981
5.133333,22,644.616829
4.277778,18,648.103547
4.705556,25,650.905882
5.475556,25,653.797344
6.502222,30,657.044172
4.876667,29,660.168084
5.218889,31,663.618927
6.16,27,666.763439
4.791111,20,668.941136
4.705556,23,671.441651
5.988889,25,674.409835
5.903333,26,677.465587
4.277778,20,681.149468
5.133333,22,683.836356
4.534444,20,686.059752
5.561111,26,688.939332
6.245556,27,692.016724
4.791111,20,694.450834
5.133333,21,696.967264
5.903333,25,699.666925
6.245556,31,702.608969
6.93,27,705.541979
5.304444,25,708.167628
6.245556,28,711.205413
5.218889,22,714.947861
5.218889,25,717.762113
5.561111,23,720.174786
6.93,32,723.54547
4.876667,22,725.819128
5.817778,29,728.925236
5.047778,23,731.254271
