# {"t_start": 1753519640.6572127, "env_id": "PctContinuous-v0"} 
r,l,t
4.363333,17,3.754063
3.507778,16,5.071452
4.962222,19,6.861613
4.192222,19,8.60416
4.448889,23,11.683195
4.277778,17,13.373954
4.705556,23,15.529205
4.62,22,17.618972
4.363333,20,19.375044
3.336667,13,20.538947
4.62,23,22.946437
4.106667,18,24.661401
3.678889,15,26.052896
4.106667,20,28.214572
3.678889,18,30.086903
4.277778,21,32.001202
3.593333,17,33.690126
4.021111,19,35.426118
3.935556,19,37.464261
4.448889,17,39.406897
3.935556,16,41.229784
4.705556,21,44.746263
4.363333,22,47.230035
4.62,21,49.61583
3.85,19,51.498492
3.08,14,53.088509
4.192222,20,55.636065
2.823333,13,57.12372
4.534444,18,59.218288
3.251111,14,60.87516
3.165556,18,63.018788
3.85,17,64.91679
5.39,22,67.514121
3.764444,15,69.248744
4.962222,20,71.218804
4.962222,24,73.835885
3.251111,15,75.569096
4.363333,23,79.844976
3.85,17,81.381018
2.481111,13,82.798481
3.764444,16,84.577573
3.08,15,86.354874
4.448889,19,88.489724
5.903333,21,90.916664
2.823333,14,92.494113
3.336667,15,94.207359
4.962222,22,96.671968
3.678889,17,98.476163
3.935556,18,100.424044
3.678889,18,102.457627
3.935556,18,104.307395
3.422222,14,105.813718
5.304444,23,108.635923
3.507778,18,111.732642
4.705556,19,113.736043
4.876667,22,116.349149
4.62,25,119.228222
5.39,24,122.021543
2.31,12,123.360154
4.277778,16,125.026005
4.448889,22,127.514884
4.448889,18,129.315651
3.85,16,131.134867
1.625556,7,131.916621
4.277778,16,133.640628
2.138889,10,134.784389
4.106667,18,137.014577
3.507778,15,138.609682
4.363333,20,140.865552
3.507778,14,142.489892
4.876667,26,146.405893
4.192222,18,148.35632
3.507778,15,150.182775
3.85,17,152.066325
4.277778,20,154.49018
4.62,18,156.428117
4.534444,22,158.880891
4.021111,18,160.861712
4.192222,22,163.314315
5.133333,21,165.759706
4.277778,20,167.955379
5.988889,27,170.926021
4.534444,20,173.281529
5.304444,23,175.836478
3.422222,15,178.779096
6.16,24,181.441727
4.021111,19,183.534325
3.336667,17,185.521207
3.507778,14,187.131515
5.646667,21,189.634392
4.192222,20,191.789898
4.791111,25,194.437389
3.764444,16,196.292978
4.363333,21,198.645252
5.218889,27,201.745938
4.791111,22,204.236597
5.988889,24,207.105639
5.047778,22,209.331155
4.106667,21,212.840776
4.705556,26,215.891168
4.277778,19,217.949885
4.62,19,220.31677
3.678889,15,221.972866
2.908889,12,223.369596
3.935556,16,225.09792
4.962222,19,227.20615
3.935556,20,229.461661
4.021111,19,231.519307
5.133333,23,234.093845
3.678889,14,235.777612
3.422222,15,237.447171
3.85,19,239.495265
3.251111,15,241.234648
4.705556,19,243.278723
4.876667,21,246.977333
2.31,12,248.400446
4.106667,16,250.08705
3.507778,16,251.834151
5.475556,23,254.532936
3.165556,17,256.276814
3.678889,18,258.29723
5.561111,25,261.164955
5.732222,26,264.228554
4.962222,21,266.709633
4.363333,18,268.701223
3.336667,18,270.945269
4.021111,17,272.615389
3.935556,20,274.904751
5.646667,23,278.909073
3.85,16,280.679832
4.62,20,282.93368
1.796667,8,283.946392
4.962222,21,286.260403
4.448889,23,288.62432
3.507778,14,290.263587
3.935556,15,292.055277
4.277778,19,294.175504
5.133333,25,297.060464
5.133333,22,299.606606
4.277778,21,302.031104
4.62,23,304.544358
3.336667,17,306.605854
3.251111,17,308.456027
2.994444,14,310.060781
4.534444,21,313.649145
3.678889,18,315.606818
4.791111,22,318.107986
3.764444,16,319.97411
4.705556,25,322.726941
4.705556,22,325.332715
5.39,23,327.839103
5.39,25,330.716773
3.422222,15,332.393785
3.251111,17,334.192503
4.448889,24,337.061265
4.876667,20,339.345352
1.967778,11,340.593438
2.31,10,341.869047
4.876667,23,345.728753
2.566667,13,347.341288
3.935556,21,349.683139
4.62,20,351.832836
4.705556,26,354.699843
5.903333,24,357.334587
4.192222,20,359.70674
4.62,26,362.414703
4.021111,18,364.52768
4.106667,21,366.874926
4.705556,22,369.200842
3.422222,17,371.23166
4.705556,19,373.243725
6.416667,26,376.319689
3.935556,15,377.898147
3.935556,21,381.47923
4.62,24,384.138864
4.876667,21,386.371203
4.876667,19,388.792197
3.165556,13,390.133905
3.593333,17,392.082785
2.652222,14,393.490266
3.422222,16,395.450848
5.218889,22,397.962185
4.962222,24,400.845545
3.507778,19,402.885846
5.133333,25,405.793271
4.106667,21,408.066964
5.903333,24,410.752112
3.935556,17,413.905101
4.277778,20,416.088296
4.021111,17,417.988482
4.534444,21,420.564231
3.85,17,422.467565
5.39,19,424.653512
4.876667,21,426.854454
4.363333,21,429.221303
3.251111,17,431.283731
5.475556,22,433.633999
3.336667,19,435.922925
4.363333,20,438.134431
4.277778,21,440.526029
2.994444,14,442.188946
5.133333,23,444.673751
4.277778,23,448.514122
3.764444,20,450.641194
3.593333,16,452.400804
5.133333,23,455.18211
5.304444,27,458.36726
4.277778,18,460.541961
4.363333,19,462.572661
4.448889,23,465.097551
5.732222,27,468.073666
4.791111,27,471.283273
4.277778,17,473.059234
3.764444,18,475.098457
4.62,25,477.862527
5.133333,24,481.650841
2.994444,18,483.662543
4.62,21,486.106352
5.304444,23,488.809811
5.133333,22,491.404305
5.39,22,493.787854
4.534444,25,496.549444
5.475556,25,499.285276
3.935556,22,501.673781
5.133333,24,504.381319
5.475556,21,506.768737
2.908889,13,508.24582
4.363333,18,510.238476
4.62,21,513.932648
4.448889,20,516.310294
5.561111,24,519.165596
4.962222,32,522.805495
4.62,21,525.160698
3.85,20,527.318027
5.218889,27,530.325434
3.08,13,531.716421
5.133333,24,534.266292
5.561111,27,537.233447
3.422222,13,538.716717
4.876667,21,541.17224
4.962222,24,543.789686
5.133333,20,547.421902
2.652222,13,548.884072
5.218889,21,551.298798
5.133333,21,553.940118
4.534444,19,556.001678
4.962222,27,559.053535
2.994444,14,560.523599
5.047778,27,563.475157
4.106667,17,565.480253
5.047778,24,568.037807
4.106667,22,570.543964
4.962222,22,572.968126
6.245556,29,576.30856
5.133333,24,578.949937
3.764444,16,582.030784
3.507778,16,583.990487
4.106667,20,586.240143
4.791111,24,589.049381
4.791111,22,591.268918
4.534444,22,593.660439
4.192222,19,595.728549
5.047778,23,598.285925
3.764444,17,600.368865
4.448889,18,602.379976
5.475556,21,604.991415
5.561111,22,607.226538
4.705556,21,609.495225
5.475556,24,612.297137
5.133333,21,616.184318
5.047778,21,618.800088
7.272222,35,622.700489
5.561111,22,625.12847
3.935556,17,626.892794
4.448889,27,629.919284
6.074444,27,632.958588
5.047778,20,635.303191
3.764444,15,636.971147
5.732222,25,639.657002
5.133333,24,642.48798
5.304444,22,645.004021
5.817778,26,649.432971
6.758889,26,652.489759
4.791111,22,654.872713
5.903333,24,657.494721
4.791111,20,659.682753
4.106667,19,661.708461
5.732222,27,664.911285
4.705556,27,667.8375
5.732222,24,670.477779
6.074444,23,673.147134
4.791111,27,676.449162
5.047778,18,678.346091
5.475556,24,682.758644
5.304444,23,685.309209
4.192222,16,686.975854
6.673333,31,690.600133
5.732222,25,693.503868
4.534444,21,696.117514
6.331111,27,698.925821
5.646667,24,701.374666
4.876667,23,703.671866
4.106667,21,706.008762
5.047778,29,709.009642
5.475556,24,711.632129
5.903333,30,716.324388
6.331111,26,719.131912
5.646667,28,722.002769
5.817778,23,724.501269
4.277778,23,726.860563
6.245556,26,729.719126
5.988889,27,732.380848
6.331111,27,734.967438
6.16,28,737.902493
5.817778,26,740.620249
5.817778,25,743.426257
6.758889,29,746.419301
5.39,29,750.835026
5.475556,27,753.632198
5.047778,24,756.266418
5.732222,31,759.279683
6.416667,29,762.342142
6.587778,32,765.626647
5.732222,31,768.855494
5.903333,27,771.789464
6.93,30,775.804788
6.758889,35,779.946488
6.074444,25,784.167257
6.587778,32,787.716521
6.502222,28,790.977481
5.133333,23,793.505445
6.758889,26,796.364003
6.93,33,799.858665
5.39,30,803.151627
5.218889,21,805.542678
5.646667,24,808.221881
5.903333,27,811.213994
5.39,23,813.74465
5.304444,26,818.205305
6.844444,31,821.747665
