# {"t_start": 1753519640.8188004, "env_id": "PctContinuous-v0"} 
r,l,t
3.935556,17,3.579893
4.962222,25,5.680809
5.218889,26,8.178957
4.791111,24,11.421281
3.165556,17,13.041302
4.106667,19,14.817661
5.988889,25,17.062188
4.021111,21,19.01417
4.363333,17,20.676502
3.422222,17,22.401073
4.106667,23,24.661492
3.678889,17,26.25456
4.62,24,28.821911
4.277778,21,30.897846
4.534444,20,32.799312
4.106667,18,34.500401
4.021111,19,36.257945
4.192222,20,38.493295
4.106667,21,40.970076
4.277778,16,42.902925
5.475556,22,46.376747
5.561111,20,48.573831
4.277778,19,50.601357
3.336667,18,52.630201
3.08,17,54.630262
4.876667,23,57.452458
4.448889,21,59.954925
2.908889,12,61.426495
3.678889,19,63.55276
5.218889,25,66.351675
5.133333,21,68.844883
4.791111,26,71.393278
1.197778,7,72.34865
4.192222,20,74.582657
3.85,20,78.379934
4.962222,21,80.600641
3.251111,16,82.199023
4.705556,23,84.926411
2.224444,10,86.019511
5.133333,24,88.706681
4.363333,16,90.556314
4.534444,20,92.818851
3.593333,13,94.227923
4.962222,22,96.763209
2.395556,11,97.839126
4.106667,18,99.885285
4.363333,21,102.249878
3.165556,17,103.915526
3.593333,17,105.875613
4.705556,23,108.596804
4.62,23,112.235771
3.85,16,114.047631
4.106667,21,116.369659
3.593333,17,118.431369
5.475556,26,121.440625
4.791111,21,123.752832
2.823333,12,125.031765
3.507778,17,126.933118
3.678889,17,128.672583
2.566667,14,130.146006
3.507778,15,131.875719
5.133333,21,134.147066
4.62,23,136.914051
3.935556,17,138.774292
3.336667,14,140.335946
4.534444,22,142.93249
2.395556,10,145.015422
4.106667,17,146.891035
2.481111,13,148.333228
4.106667,18,150.493434
4.448889,20,152.713731
3.336667,16,154.630168
3.507778,16,156.378062
4.705556,20,158.575941
4.62,19,160.734579
4.021111,21,162.981777
5.646667,25,165.934368
4.106667,19,167.965441
3.593333,17,169.942355
6.245556,27,173.003006
2.224444,11,174.257677
4.534444,22,176.775719
2.908889,12,179.29855
3.678889,20,181.49443
5.304444,20,183.863116
2.908889,16,185.607326
2.737778,15,187.288904
4.705556,27,190.497975
4.534444,18,192.361825
2.823333,15,193.944744
3.593333,17,196.000001
3.08,14,197.466349
3.593333,16,199.288329
1.711111,8,200.11023
4.62,24,202.931878
2.652222,11,204.193688
5.39,22,206.904934
3.507778,16,208.450712
4.962222,20,211.854172
4.277778,19,214.086711
5.475556,22,216.520226
4.277778,16,218.264187
5.047778,25,221.282314
3.251111,14,222.86699
4.791111,19,224.982256
4.448889,17,226.79613
4.448889,18,228.805277
3.935556,18,230.87152
5.988889,30,234.182275
3.935556,17,236.182572
4.448889,17,238.014413
4.705556,20,240.115853
4.363333,19,242.348043
5.218889,22,246.081238
5.475556,29,249.442362
2.652222,12,250.782535
4.62,21,253.116154
4.021111,17,254.995245
