# {"t_start": 1753519640.7229614, "env_id": "PctContinuous-v0"} 
r,l,t
4.791111,19,3.82771
3.764444,17,5.299129
3.507778,14,6.59213
4.363333,18,8.266444
4.705556,21,11.217276
4.534444,20,13.120599
4.705556,24,15.399527
4.534444,20,17.156809
3.593333,18,18.868368
4.363333,22,20.920023
4.448889,19,22.924985
1.54,6,23.490883
3.678889,17,25.059461
2.823333,14,26.449749
3.251111,16,28.149293
5.133333,21,30.373065
5.646667,29,33.034241
4.62,23,35.227227
3.593333,17,36.894227
5.047778,20,39.212574
4.62,20,41.47601
3.678889,15,43.321912
5.304444,24,47.030756
3.422222,14,48.56672
3.422222,16,50.283115
4.448889,17,52.144056
3.336667,16,54.084693
2.138889,10,55.415031
4.534444,27,58.512363
4.277778,22,61.222425
3.935556,17,63.029191
4.106667,17,64.951457
3.336667,16,66.930073
4.192222,20,69.196707
3.593333,16,70.805025
4.705556,23,73.272177
1.625556,9,74.279042
5.218889,27,78.958687
4.021111,16,80.608111
2.481111,15,82.130651
3.507778,19,84.248686
2.566667,13,85.725966
4.021111,21,88.075992
5.39,25,91.009787
3.593333,14,92.557963
4.021111,16,94.336805
3.422222,17,96.375579
3.85,18,98.13868
4.962222,26,101.120252
4.277778,18,102.944542
3.507778,16,104.678857
4.62,20,106.921382
4.791111,23,109.649666
5.39,23,113.309141
4.277778,18,115.302937
3.764444,20,117.630195
5.047778,22,120.345762
3.336667,17,122.191656
4.277778,17,124.028921
4.192222,21,126.429138
4.363333,18,128.275869
4.192222,17,130.067934
4.192222,15,131.75475
4.363333,21,134.070156
2.737778,12,135.402969
3.165556,14,137.12607
1.197778,5,137.639443
3.336667,18,139.674806
5.39,26,142.728203
4.106667,17,145.555415
5.475556,22,148.057695
4.534444,20,150.409315
3.422222,17,152.182863
4.705556,21,154.719236
3.678889,15,156.369248
2.652222,13,157.839643
4.62,22,160.315468
4.106667,16,161.952781
4.363333,21,164.355487
4.192222,16,166.242923
4.021111,19,168.380159
3.08,19,170.434871
4.62,20,172.75654
3.422222,15,174.445305
3.85,17,176.311681
3.593333,15,179.283234
2.481111,11,180.47618
2.566667,11,181.677733
