# {"t_start": 1753442983.8117971, "env_id": "PctDiscrete-v0"} 
r,l,t
4.534444,24,2.693211
2.395556,13,3.136497
3.935556,21,3.894016
3.422222,14,4.398084
2.994444,14,4.885198
4.876667,22,5.738626
3.593333,18,6.40936
3.08,16,6.977558
3.935556,24,7.898242
3.251111,14,8.349263
5.39,22,9.134044
4.277778,20,9.920731
3.507778,19,10.617677
2.823333,16,11.274024
4.448889,18,11.850018
4.876667,17,12.446552
3.251111,14,12.99542
2.823333,16,13.546255
3.593333,18,14.188492
4.705556,21,15.125599
4.192222,20,15.902079
2.994444,15,16.446659
3.935556,20,17.358053
3.85,20,18.104078
1.454444,7,18.342077
5.988889,28,19.492438
3.935556,17,20.134
5.047778,19,21.037134
2.31,11,21.450145
1.197778,5,21.630864
2.994444,13,22.167331
3.678889,18,22.788355
3.507778,14,23.373513
5.047778,20,25.355556
3.85,17,25.979474
3.422222,15,26.622766
3.678889,17,27.306838
4.106667,18,27.990391
3.422222,20,28.836566
5.304444,22,29.713701
5.218889,26,30.779749
4.962222,24,31.680188
4.021111,21,32.51661
3.08,15,33.049642
3.678889,16,33.621337
3.507778,15,34.266935
4.534444,18,34.934781
5.304444,21,35.695337
4.534444,21,36.597506
4.106667,20,37.309535
3.935556,17,38.137886
3.336667,17,38.717709
5.218889,25,39.628942
4.021111,17,40.353024
4.106667,19,41.076538
4.62,20,41.911634
5.218889,20,42.652864
4.277778,21,43.352047
5.047778,25,44.300152
4.363333,23,45.129537
4.192222,23,46.129364
4.106667,18,46.820764
4.363333,21,47.696329
4.277778,19,48.503672
0.684444,3,48.635752
3.593333,16,49.228099
2.652222,18,50.022484
3.165556,16,50.649713
4.021111,16,51.303379
4.192222,20,52.196277
3.507778,15,52.838071
5.047778,26,54.000832
4.62,21,54.764032
2.395556,13,55.277309
3.764444,17,56.040093
4.192222,23,56.980358
3.85,17,58.682148
2.652222,13,59.319004
2.224444,12,59.770571
5.133333,23,60.697453
3.593333,18,61.566421
3.593333,19,62.335615
4.021111,22,63.364709
4.363333,18,64.033403
4.363333,24,65.014528
2.994444,16,65.677017
4.021111,16,66.376336
4.791111,23,67.230951
4.876667,21,68.106501
2.481111,11,68.578466
3.251111,15,69.130332
4.106667,19,69.944771
2.994444,14,70.571153
5.475556,22,71.63916
4.448889,20,72.417144
1.882222,10,72.810369
3.507778,18,73.447167
3.935556,18,74.21651
4.021111,21,74.952609
4.277778,22,75.894758
4.277778,19,76.61957
4.363333,19,77.374506
4.876667,24,78.466636
2.994444,14,79.014143
5.133333,24,80.034498
5.218889,28,81.266619
3.507778,18,82.174508
4.021111,17,82.859912
3.678889,21,83.648593
4.277778,21,84.614199
3.678889,14,85.151634
4.62,23,86.124083
4.277778,19,86.858325
2.31,12,87.317021
3.422222,16,87.93952
2.224444,10,88.416202
4.534444,22,89.374453
4.791111,25,90.462088
5.39,29,92.798038
4.962222,20,93.724055
3.935556,18,94.487112
3.336667,14,95.078047
4.791111,24,96.209864
4.021111,18,96.945725
5.732222,23,98.082134
4.791111,24,99.008973
5.475556,26,100.117045
4.363333,20,100.878744
5.218889,26,101.893923
5.218889,23,102.959711
3.165556,16,103.554045
3.85,19,104.376955
2.908889,14,104.897679
2.737778,15,105.498357
3.85,17,106.326153
4.705556,19,107.072154
3.935556,17,107.695291
3.935556,18,108.500369
3.935556,20,109.290364
4.363333,20,110.115117
4.876667,20,111.086879
2.053333,8,111.371063
4.277778,23,112.326421
5.561111,22,113.251781
4.791111,23,114.157206
4.962222,22,115.029785
3.507778,14,115.556837
2.652222,12,115.992948
5.304444,25,117.117104
3.251111,13,117.669026
5.39,28,118.926047
3.935556,22,119.82607
1.54,6,120.070136
4.363333,21,121.084603
4.192222,16,121.808943
5.732222,27,122.906255
3.251111,18,123.77343
4.363333,17,125.679107
4.021111,18,126.553446
4.277778,17,127.201915
4.962222,22,128.056401
4.534444,22,129.101807
3.678889,18,129.786859
5.218889,25,130.844743
4.534444,23,131.814328
4.962222,21,132.685933
3.764444,22,133.741005
4.705556,23,134.633584
4.534444,20,135.634593
5.047778,24,136.599044
4.876667,23,137.645322
4.448889,20,138.455123
4.534444,20,139.329326
4.962222,26,140.324389
5.047778,24,141.327023
4.534444,22,142.21147
3.251111,18,142.968283
5.133333,25,144.023299
4.534444,22,144.880199
4.62,20,145.757691
3.85,21,146.557309
4.705556,21,147.383914
4.62,21,148.375056
3.507778,19,149.126992
4.106667,20,150.088817
4.363333,20,150.929324
4.363333,21,151.85709
3.593333,19,152.525826
4.192222,22,153.44657
4.876667,24,154.492796
3.935556,20,155.300942
2.823333,15,156.005439
