# {"t_start": 1753442983.981542, "env_id": "PctDiscrete-v0"} 
r,l,t
4.192222,15,2.245259
5.047778,26,3.10223
3.85,16,3.709636
4.534444,20,4.415997
5.047778,20,5.119197
4.277778,20,5.892287
3.251111,15,6.437342
4.106667,21,7.197294
4.021111,18,7.91956
3.935556,19,8.516864
3.165556,16,9.186967
4.363333,20,9.926461
3.85,23,10.716455
2.138889,9,11.13227
5.133333,20,11.794443
3.678889,16,12.322815
2.908889,14,12.882022
3.507778,14,13.380739
4.021111,19,14.115494
3.678889,17,14.836491
4.448889,23,15.735838
4.448889,18,16.350979
2.908889,11,16.920476
4.705556,18,17.624769
5.817778,29,18.775425
2.053333,12,19.217837
3.935556,19,19.967295
2.652222,13,20.545475
5.218889,27,21.656407
4.62,17,22.267808
3.85,23,23.204384
4.448889,23,25.324841
5.475556,25,26.351922
3.764444,18,27.000627
4.534444,17,27.714048
5.988889,34,29.05499
3.336667,15,29.627576
4.962222,22,30.595851
4.62,22,31.391662
3.336667,17,32.132168
4.62,20,32.840807
4.021111,17,33.431234
5.047778,19,34.216863
3.935556,22,35.012133
3.422222,17,35.80698
3.764444,18,36.434134
4.106667,21,37.171491
3.336667,16,37.973022
2.908889,12,38.379158
2.053333,12,38.792133
5.732222,28,39.977793
4.192222,21,40.736102
3.422222,19,41.445341
4.448889,19,42.279315
3.678889,22,42.989257
3.935556,19,43.743714
1.967778,10,44.091722
4.62,21,44.815222
2.994444,16,45.472094
4.277778,23,46.416151
4.62,26,47.503444
3.85,21,48.3623
4.448889,22,49.239102
3.336667,15,49.880097
3.85,17,50.551825
3.678889,18,51.3121
3.935556,17,52.059111
1.967778,8,52.427574
4.448889,21,53.300626
1.112222,6,53.546652
3.85,16,54.248907
2.566667,13,54.736913
4.791111,25,55.814742
2.994444,14,56.404758
4.192222,23,58.338946
1.882222,10,58.721904
4.962222,20,59.60709
3.422222,11,60.101716
4.705556,19,60.814639
3.935556,16,61.624673
3.678889,15,62.271843
4.021111,23,63.251906
4.363333,19,64.017247
3.935556,22,64.87116
4.791111,19,65.677645
4.705556,23,66.616347
2.481111,11,67.049796
4.277778,17,67.748074
4.705556,26,68.778062
4.106667,21,69.700955
3.593333,19,70.536783
2.994444,14,71.044659
4.791111,18,71.900679
5.39,22,72.755061
4.277778,24,73.735538
3.336667,15,74.276415
4.962222,23,75.129241
2.823333,14,75.81538
3.422222,16,76.408847
4.962222,22,77.240923
4.106667,18,78.105631
4.106667,18,78.768501
4.106667,23,79.814278
3.251111,15,80.476805
4.363333,18,81.263552
2.994444,14,81.892701
4.192222,20,82.755173
5.39,22,83.634255
4.534444,24,84.739168
4.448889,19,85.38058
3.165556,17,86.136884
4.791111,23,87.015783
5.218889,29,88.248806
3.935556,18,89.046644
5.561111,24,90.109576
2.053333,10,91.731166
2.908889,15,92.331098
4.876667,24,93.248288
4.106667,19,94.142512
2.481111,10,94.562249
4.534444,21,95.401207
4.876667,24,96.563314
4.106667,17,97.322677
5.133333,25,98.412123
2.053333,11,98.878502
4.705556,23,99.736206
4.021111,20,100.584998
4.106667,19,101.357416
4.791111,24,102.450227
3.85,15,103.036887
5.218889,25,104.077361
5.218889,24,105.057026
4.962222,23,105.945366
3.593333,17,106.735729
4.962222,26,107.715175
2.224444,11,108.206943
5.133333,24,109.176269
4.106667,22,110.095601
3.08,13,110.76986
2.908889,15,111.385015
4.448889,20,112.190367
3.935556,21,113.07836
4.448889,18,113.797405
3.336667,14,114.424166
4.106667,21,115.17188
3.85,19,115.915222
4.448889,16,116.652145
3.764444,17,117.346738
4.363333,21,118.178576
2.737778,11,118.757057
4.876667,20,119.603262
4.791111,22,120.559736
2.395556,12,121.129426
4.106667,21,122.072934
3.85,18,122.764493
4.962222,25,125.108713
3.336667,16,125.763575
3.85,16,126.570667
5.988889,22,127.434422
4.534444,20,128.275622
3.336667,13,128.911587
4.363333,19,129.626794
4.277778,18,130.351478
5.903333,22,131.28751
4.705556,22,132.273273
3.764444,18,133.048251
3.593333,17,133.803565
5.646667,24,134.944694
5.047778,27,136.059674
2.994444,15,136.627726
4.363333,22,137.611023
2.908889,13,138.147636
4.534444,21,138.955123
5.047778,23,139.961253
4.705556,25,140.899646
3.593333,16,141.603997
4.791111,22,142.483971
4.534444,20,143.387359
5.646667,23,144.331076
4.534444,20,145.124039
4.62,25,146.166287
4.705556,22,147.029019
3.678889,16,147.772215
4.705556,19,148.531449
3.336667,16,149.301264
4.791111,22,150.251835
4.534444,20,151.102472
3.593333,15,151.74101
4.876667,20,152.502865
4.876667,23,153.439831
3.935556,17,154.182802
3.593333,20,154.989723
3.251111,18,155.843008
5.133333,23,156.691808
5.561111,21,158.562477
4.448889,23,159.652116
5.047778,25,160.658527
4.705556,25,161.771386
4.534444,19,162.505462
4.791111,19,163.378054
4.192222,20,164.193371
4.62,24,165.083173
3.08,13,165.703523
4.192222,24,166.662958
4.363333,21,167.611021
3.764444,20,168.431179
