# {"t_start": 1753519640.6315491, "env_id": "PctContinuous-v0"} 
r,l,t
5.218889,22,4.157663
4.021111,17,5.596513
5.475556,28,8.245249
4.448889,21,11.217403
4.106667,22,13.261843
5.047778,25,15.584836
5.047778,18,17.250431
3.507778,20,19.073287
3.935556,16,20.580332
3.251111,15,22.038002
4.534444,18,23.93428
4.534444,21,25.943338
4.791111,21,28.17167
4.192222,19,30.131507
4.448889,17,31.67941
3.165556,15,33.096282
3.507778,15,34.477686
3.507778,16,36.114607
1.967778,8,36.862342
5.39,23,39.538833
4.363333,18,41.582377
4.962222,23,45.338927
4.021111,15,47.041559
3.593333,15,48.628947
2.737778,11,49.864523
3.422222,18,51.750234
3.165556,17,53.738503
3.336667,14,55.584427
4.705556,18,57.655738
2.994444,15,59.42405
4.363333,20,61.875795
0.684444,3,62.14411
2.908889,17,64.110248
3.85,15,65.769777
4.791111,24,68.482493
5.646667,25,71.090248
5.133333,21,73.508952
4.363333,20,75.791618
3.593333,18,79.325972
4.62,19,81.217876
3.507778,21,83.438898
3.935556,19,85.732564
3.85,15,87.368551
3.593333,13,88.896657
3.593333,16,90.749516
4.791111,22,93.192763
5.475556,22,95.710495
3.678889,17,97.539943
4.534444,19,99.562984
4.192222,18,101.575899
2.31,12,102.870437
3.507778,14,104.362066
3.85,16,106.097478
3.85,18,108.328872
5.646667,28,112.498092
2.566667,9,113.487258
4.962222,20,115.786546
4.448889,23,118.382394
4.106667,20,120.814878
5.133333,23,123.337826
4.192222,19,125.54519
4.106667,21,127.709869
1.54,8,128.597532
3.251111,12,129.799905
3.08,14,131.397539
4.705556,21,133.685618
4.192222,18,135.774144
3.165556,12,137.203928
3.422222,18,139.185155
3.593333,16,140.979801
5.133333,24,143.772182
4.106667,20,146.938647
4.021111,19,149.227674
4.192222,16,151.03455
5.561111,24,153.616735
3.764444,20,155.991661
3.336667,16,157.833328
0.855556,4,158.231957
4.962222,26,161.141948
5.133333,22,163.486351
4.277778,18,165.730803
4.62,19,167.686179
2.908889,15,169.41467
4.962222,24,172.168442
5.304444,28,175.321325
3.336667,16,177.098157
4.192222,18,180.365447
5.047778,24,182.976359
3.336667,14,184.668791
3.593333,17,186.6041
4.876667,23,189.106704
3.935556,16,191.011584
4.277778,22,193.373774
2.823333,12,194.656121
3.422222,18,196.814539
3.336667,13,198.218705
3.507778,14,199.769782
4.277778,19,201.961456
3.422222,17,203.904376
4.363333,22,206.602087
4.705556,23,208.85939
3.935556,19,212.166833
3.764444,19,214.424042
5.047778,20,216.639012
3.764444,18,218.904575
4.192222,18,220.878173
4.62,24,223.531671
5.047778,28,226.733139
3.935556,16,228.429986
4.192222,21,230.805214
4.021111,20,233.017814
5.561111,26,235.986358
4.277778,20,238.168633
4.106667,19,240.166809
4.277778,24,242.975428
4.277778,25,247.078614
4.962222,21,249.508638
4.192222,20,251.703875
4.192222,20,254.014776
4.876667,19,256.056553
4.448889,21,258.310091
4.363333,16,260.210976
4.448889,18,262.265826
2.908889,14,263.930075
3.764444,18,266.091184
4.021111,21,268.373734
5.304444,23,271.136099
2.31,12,272.352492
3.251111,15,273.960481
4.106667,19,276.110903
4.534444,22,280.064559
2.224444,12,281.370413
4.534444,17,283.247498
5.304444,22,285.83384
5.133333,25,288.496562
3.678889,16,290.321482
4.62,25,293.19773
4.962222,26,296.208368
4.363333,17,298.168208
4.277778,25,301.126656
4.534444,22,303.493868
2.908889,15,305.122857
4.705556,22,307.642786
4.277778,21,310.110852
4.106667,18,313.296166
3.935556,18,315.312891
4.363333,21,317.674901
4.363333,18,319.842113
5.39,21,322.106273
5.646667,27,325.273638
3.08,16,327.011232
4.448889,18,329.012313
4.534444,19,331.243474
5.047778,22,333.629365
3.593333,20,335.915736
4.448889,18,338.08955
2.908889,15,339.705274
4.448889,21,342.22908
2.224444,12,343.559027
3.593333,18,346.940019
3.165556,15,348.745906
5.646667,22,351.087215
4.363333,22,353.445287
4.876667,23,356.007133
4.106667,20,358.220737
3.764444,16,360.170616
2.994444,17,361.944055
5.732222,23,364.560879
4.106667,18,366.527027
4.192222,20,368.720953
4.277778,23,371.381157
5.561111,29,374.531628
3.935556,16,376.455617
3.08,13,377.776726
4.448889,23,381.605545
4.106667,19,383.740933
3.764444,15,385.306136
5.732222,26,388.265937
5.304444,26,391.283303
4.192222,18,393.26767
5.218889,22,395.761883
4.791111,20,398.076265
3.678889,18,400.299773
3.85,17,402.089391
2.481111,15,403.752853
3.336667,18,405.885794
4.363333,16,407.622333
4.363333,20,409.835731
3.85,20,413.397456
5.218889,22,415.729511
4.534444,26,418.90064
3.08,13,420.256831
3.336667,14,421.916968
3.764444,18,424.067879
3.935556,17,425.775951
4.876667,21,428.064817
4.106667,23,430.863505
3.422222,16,432.553561
4.021111,19,434.693285
4.705556,19,437.006352
4.363333,18,438.91372
2.994444,12,440.337193
4.791111,25,443.261208
5.646667,24,447.022613
2.737778,14,448.637764
3.85,17,450.492132
3.507778,16,452.254735
3.935556,18,454.375535
3.422222,17,456.391765
2.823333,18,458.484814
3.678889,17,460.55336
4.192222,19,462.602012
4.705556,16,464.279011
4.021111,16,466.103047
4.277778,22,468.495436
3.764444,19,470.854334
4.534444,18,472.777353
4.705556,23,475.3182
4.363333,17,477.27463
4.106667,20,480.565644
4.876667,30,483.986501
4.876667,22,486.440361
1.967778,11,487.667538
4.448889,23,490.454554
5.218889,24,493.203674
5.047778,27,496.107852
2.737778,15,497.757364
3.336667,15,499.412741
4.62,23,502.009976
3.678889,14,503.574923
4.277778,20,505.87655
4.962222,24,508.481306
4.705556,19,510.547685
4.021111,16,513.743588
3.678889,16,515.659058
6.16,24,518.445721
4.876667,21,520.936652
4.791111,18,522.905801
4.962222,18,525.027333
4.705556,24,527.589235
5.39,27,530.540649
3.678889,18,532.563856
5.218889,18,534.39866
4.962222,22,536.919045
3.678889,19,538.978922
5.133333,22,541.533409
5.133333,25,544.267993
4.448889,23,548.165818
4.962222,19,550.320784
4.277778,21,552.867391
5.133333,20,555.223186
4.791111,19,557.321787
3.593333,19,559.513
4.876667,21,561.75477
3.764444,17,563.696642
3.251111,17,565.589529
5.646667,23,568.047007
4.448889,25,570.954605
4.705556,22,573.375964
4.192222,24,576.096597
5.133333,23,578.633578
4.448889,23,582.694177
3.764444,17,584.522391
5.218889,26,587.55521
4.705556,19,589.666891
3.593333,19,591.545328
5.475556,27,594.549043
5.133333,19,596.621001
6.416667,31,600.339127
4.106667,19,602.396094
4.791111,17,604.435005
4.277778,21,606.738847
4.448889,20,608.905379
5.218889,30,612.341393
5.218889,26,616.785202
3.935556,18,619.115869
4.534444,22,621.620809
6.758889,28,624.666728
4.106667,21,626.826329
5.817778,22,629.230436
4.791111,20,631.446439
4.448889,20,633.709733
4.62,21,636.229333
6.758889,29,639.322741
5.988889,28,642.631671
5.047778,25,645.50355
5.561111,23,649.638384
4.705556,24,652.337654
5.39,25,655.144092
4.705556,23,657.616653
5.646667,22,659.961242
5.475556,26,662.880552
5.817778,23,665.570866
6.245556,29,668.731736
5.732222,25,671.501803
5.646667,25,674.460351
4.705556,24,677.312285
5.988889,30,682.156474
5.047778,25,685.1276
5.39,23,687.521255
6.331111,23,690.201631
6.074444,23,692.964744
6.673333,31,696.696488
6.245556,25,699.302562
5.304444,22,701.482
4.363333,19,703.331416
5.39,29,706.573421
6.502222,30,709.633816
5.561111,23,712.193997
5.646667,32,717.223826
4.106667,24,719.72346
4.021111,20,721.789855
5.732222,23,724.218235
5.561111,28,727.149824
5.988889,28,730.07196
7.186667,30,733.116785
6.587778,35,736.524949
5.646667,24,739.063081
6.502222,26,741.767544
6.074444,27,744.772699
4.791111,22,746.998388
5.304444,27,751.292283
6.16,28,754.222718
4.962222,21,756.473387
5.561111,21,758.565663
6.844444,29,761.530175
6.416667,29,764.457059
6.587778,27,767.309916
7.015556,28,770.199926
6.416667,25,773.251734
6.758889,32,777.529765
5.39,25,780.363547
5.047778,25,784.555686
4.534444,22,786.983135
5.561111,24,789.849511
6.331111,27,792.746905
6.93,28,795.90859
6.331111,25,798.482928
5.732222,27,801.523818
5.047778,24,804.120263
5.561111,23,806.783938
5.817778,28,809.828594
4.962222,26,812.675733
7.101111,27,817.119391
5.047778,25,820.178745
5.988889,23,822.604945
6.416667,28,825.763606
5.561111,28,828.793081
5.561111,27,831.717955
6.245556,27,834.621874
6.074444,27,837.625494
4.876667,24,840.344899
5.646667,26,843.263964
4.876667,25,845.842963
5.561111,26,850.181267
5.817778,26,853.31957
4.62,21,855.735802
5.475556,24,858.378837
5.817778,26,861.377608
5.817778,29,864.734323
7.186667,29,868.422032
6.502222,25,871.727979
4.876667,25,874.749374
5.561111,27,877.876414
5.903333,28,880.514169
6.245556,29,885.018295
7.443333,36,888.877832
6.758889,29,892.009362
5.561111,22,894.274328
5.047778,22,896.629651
5.646667,30,899.63398
5.561111,28,902.480113
5.304444,26,905.502467
6.331111,33,908.968977
6.331111,31,912.188589
5.561111,24,914.65274
5.903333,26,918.960094
7.015556,33,922.544395
4.705556,21,924.660052
5.475556,26,927.33789
6.844444,33,930.722104
5.646667,26,933.523098
5.903333,25,936.120712
6.844444,32,939.475075
6.758889,32,942.75048
5.047778,19,944.689156
