# {"t_start": 1753442983.835902, "env_id": "PctDiscrete-v0"} 
r,l,t
2.908889,14,2.358432
4.705556,20,2.988196
3.507778,17,3.585302
3.593333,17,4.226301
5.218889,22,4.960699
4.021111,20,5.756295
3.08,14,6.261913
4.962222,21,7.038131
3.507778,13,7.575098
4.277778,18,8.227118
5.047778,19,8.829649
3.678889,18,9.562009
4.876667,21,10.320683
5.047778,21,11.07201
4.791111,21,11.900199
4.192222,21,12.587706
5.133333,24,13.502159
3.165556,15,14.059898
2.224444,12,14.54598
3.507778,14,15.128581
4.021111,17,15.764824
4.363333,20,16.503376
2.737778,13,17.189947
3.507778,15,17.741901
4.277778,16,18.311713
4.534444,21,19.162971
3.336667,15,19.72532
4.277778,24,20.748287
3.507778,15,21.423708
5.047778,22,22.233172
4.106667,19,23.027002
2.823333,16,23.586902
4.534444,23,25.708534
5.39,23,26.687791
2.652222,13,27.138008
5.304444,23,28.157502
3.165556,17,28.785939
4.705556,23,29.689735
3.935556,19,30.514838
4.277778,20,31.2662
3.08,14,31.732234
2.138889,9,32.170066
3.764444,15,32.688932
4.106667,18,33.369661
2.395556,10,33.769036
3.85,18,34.425699
2.737778,11,34.881939
4.62,19,35.535225
3.764444,22,36.528176
4.448889,20,37.239141
1.967778,11,37.652813
4.791111,21,38.542413
4.021111,18,39.21446
4.021111,20,40.098602
5.047778,22,40.877738
3.764444,15,41.407058
4.106667,21,42.326977
4.192222,20,42.986167
4.705556,21,43.836648
1.882222,7,44.045503
5.218889,24,44.9073
1.711111,9,45.240595
3.935556,17,45.952005
3.593333,15,46.551506
3.08,14,47.125545
3.165556,14,47.764107
2.823333,17,48.446935
4.106667,20,49.206829
4.192222,17,49.921217
4.876667,21,50.8099
4.791111,23,51.776354
5.732222,25,52.845416
4.192222,22,53.906625
3.764444,17,54.51192
3.678889,17,55.124807
4.448889,20,56.015242
4.021111,21,56.905602
3.336667,16,58.586562
2.224444,13,59.144682
1.882222,13,59.686574
4.106667,22,60.529758
2.395556,12,61.151956
3.593333,12,61.620907
5.646667,22,62.596052
4.448889,22,63.544705
5.561111,26,64.593827
3.678889,15,65.174295
4.192222,19,65.983483
4.448889,21,66.81431
4.363333,23,67.819784
4.363333,20,68.583703
1.967778,8,68.828659
4.363333,20,69.710352
3.336667,17,70.506091
5.047778,19,71.300861
4.106667,18,72.073417
5.047778,24,73.027618
4.534444,22,73.903733
4.791111,20,74.616247
3.422222,15,75.169396
3.678889,17,75.975126
3.764444,16,76.578701
3.251111,14,77.123817
5.646667,24,78.22114
4.705556,19,78.90226
3.422222,17,79.728626
5.39,26,80.825943
4.277778,20,81.688068
1.54,6,82.014336
4.106667,16,82.702441
4.534444,21,83.5564
5.475556,25,84.671835
4.705556,22,85.465718
5.133333,24,86.457677
4.021111,18,87.15503
5.304444,21,88.127051
5.817778,30,89.355105
3.336667,20,90.250147
5.561111,25,92.473846
6.074444,22,93.33597
4.363333,19,94.229844
5.133333,27,95.300153
4.705556,20,96.260228
4.277778,18,97.085959
4.277778,22,98.113954
3.85,15,98.635556
4.62,20,99.457143
6.16,25,100.512882
4.106667,17,101.233868
4.277778,20,102.125323
2.823333,16,102.749034
4.534444,21,103.55397
4.62,23,104.555664
4.448889,22,105.423934
5.732222,24,106.479162
1.967778,9,106.844515
5.561111,23,107.695995
4.791111,23,108.709945
5.903333,25,109.709935
3.251111,13,110.242102
5.133333,25,111.383883
5.047778,21,112.277874
4.791111,18,113.021512
3.422222,13,113.561147
4.876667,21,114.341789
6.074444,22,115.216312
3.935556,17,115.893981
3.85,19,116.765793
4.448889,21,117.632445
5.561111,23,118.523868
4.876667,20,119.422992
3.678889,18,120.247079
3.764444,18,121.146556
4.106667,20,122.022396
4.876667,23,122.920692
5.218889,21,123.855769
4.363333,21,125.992498
4.192222,21,126.938655
2.481111,15,127.547432
4.106667,16,128.193269
3.935556,18,129.058128
5.475556,24,129.951209
4.277778,18,130.764083
1.54,6,130.982387
4.876667,24,132.000265
5.39,24,133.107868
2.908889,14,133.717018
2.395556,10,134.121164
3.422222,14,134.636425
4.705556,27,135.983346
5.817778,25,136.952255
3.764444,22,137.929378
5.133333,24,138.866134
5.39,24,139.901888
4.705556,20,140.660381
4.791111,21,141.541234
4.62,23,142.529093
5.988889,26,143.636459
5.047778,22,144.496522
4.448889,20,145.303398
5.218889,25,146.343216
3.764444,17,147.066895
3.764444,19,147.818925
4.448889,23,148.817681
3.422222,16,149.518868
3.593333,18,150.36119
3.08,14,151.000757
4.534444,24,151.933295
3.507778,23,152.842677
2.481111,13,153.389243
4.021111,22,154.328656
5.646667,22,155.185373
3.935556,16,155.985146
4.448889,22,156.792628
3.593333,16,158.475005
4.106667,20,159.399023
2.481111,14,159.985897
2.566667,10,160.393785
5.133333,23,161.471462
5.218889,20,162.255525
3.764444,15,162.821807
4.448889,21,163.735113
4.021111,20,164.552409
4.363333,21,165.460556
5.133333,22,166.296597
4.62,24,167.275662
4.962222,19,168.15524
3.422222,19,168.944594
5.304444,23,169.956274
4.277778,22,170.862808
4.705556,17,171.602457
3.422222,15,172.318584
3.764444,17,173.013861
3.336667,17,173.658094
4.192222,19,174.496623
4.106667,24,175.459448
4.363333,20,176.363652
5.047778,22,177.28489
3.507778,13,177.884146
4.534444,18,178.706448
4.62,20,179.508236
4.791111,26,180.647164
3.935556,20,181.493076
4.363333,21,182.498796
5.047778,23,183.320629
1.882222,8,183.619784
2.395556,14,184.171803
3.764444,19,185.008788
5.047778,19,185.812809
2.908889,17,186.663875
5.304444,30,187.90197
4.448889,22,188.940654
3.678889,21,189.798788
5.047778,19,190.59008
5.133333,20,192.757059
3.507778,17,193.459321
3.08,17,194.192879
5.218889,28,195.437119
4.277778,19,196.285097
4.705556,29,197.622202
2.908889,18,198.405179
4.705556,22,199.389234
4.962222,19,200.221003
4.962222,25,201.52429
4.62,23,202.597204
5.218889,24,203.728556
4.791111,26,204.791597
4.791111,22,205.783094
4.363333,23,206.633153
4.791111,20,207.401262
4.62,19,208.273254
4.62,21,209.15762
4.448889,18,210.080621
4.192222,20,210.902867
5.218889,25,211.895388
4.534444,22,212.852233
5.561111,28,213.973061
5.047778,23,215.045079
5.133333,21,215.836859
3.85,22,216.813208
3.935556,21,217.678639
5.047778,23,218.82913
2.737778,13,219.405097
5.047778,24,220.32081
4.534444,23,221.353768
5.218889,23,222.308903
5.304444,24,223.341111
4.363333,20,225.292259
5.133333,26,226.472455
5.047778,23,227.330439
4.534444,21,228.221144
5.218889,25,229.267497
4.791111,19,230.056359
4.791111,23,231.147907
5.646667,26,232.233767
5.988889,26,233.356088
5.047778,21,234.189564
4.962222,20,235.157701
5.304444,22,236.108171
5.817778,24,237.20353
4.448889,17,237.88557
4.962222,25,239.041762
5.732222,21,239.880473
4.62,22,240.879497
5.561111,28,242.204083
5.561111,27,243.587791
4.448889,20,244.476464
6.93,33,245.979742
6.587778,29,247.20394
5.903333,26,248.337594
4.448889,18,249.102385
5.304444,21,250.05941
5.133333,22,251.08593
4.277778,18,251.917672
5.39,25,253.131542
5.218889,19,253.963313
6.16,24,255.13415
