# {"t_start": 1753519640.7971597, "env_id": "PctContinuous-v0"} 
r,l,t
5.561111,21,3.940621
3.935556,16,5.311274
5.475556,26,7.746964
4.363333,18,9.321398
3.593333,14,11.663301
4.962222,21,13.786761
3.507778,14,15.017977
4.791111,21,16.949214
4.021111,20,18.767549
5.304444,26,21.26239
4.192222,23,23.575873
5.047778,28,26.282931
5.304444,27,29.124161
3.336667,18,30.915898
3.251111,18,32.684224
3.165556,17,34.187126
3.507778,13,35.491869
4.962222,17,37.282542
1.54,7,37.982285
5.218889,21,40.439626
3.422222,16,42.223627
2.31,13,44.805571
4.192222,22,47.341951
3.678889,19,49.507314
3.678889,15,50.977684
1.711111,7,51.679313
4.277778,20,54.097145
4.791111,18,56.312448
4.021111,18,58.403251
5.475556,22,61.178406
3.85,17,62.982418
4.363333,17,64.858183
2.224444,12,66.277821
4.021111,16,68.139012
4.791111,18,70.185652
4.106667,16,71.685835
3.593333,18,73.762893
4.705556,25,78.102673
2.823333,15,79.891734
3.678889,19,81.709132
4.277778,18,83.681492
4.021111,22,86.268451
5.218889,26,89.121532
5.732222,22,91.729336
4.106667,16,93.517707
4.962222,19,95.643626
4.62,21,97.869177
3.678889,16,99.632513
2.823333,14,101.226471
3.336667,15,102.783884
5.218889,27,105.70325
2.994444,13,107.423116
4.363333,18,109.396688
4.448889,31,113.983423
5.218889,28,117.073807
3.764444,16,119.036755
2.737778,12,120.46373
3.678889,16,122.2126
4.62,17,124.123939
3.593333,16,125.941901
2.395556,10,126.949119
4.705556,24,129.455779
3.593333,16,131.248309
6.245556,31,134.658132
4.106667,17,136.697472
2.652222,10,137.738426
4.363333,19,139.884813
3.764444,17,142.025612
3.935556,19,145.059595
3.764444,19,147.082132
4.192222,22,149.757029
3.935556,20,151.953953
5.047778,21,154.439814
4.448889,18,156.414782
4.876667,21,158.761376
3.935556,18,160.759185
4.62,21,163.011873
5.133333,25,165.931284
3.165556,15,167.559165
2.994444,13,169.060777
3.678889,18,171.191787
4.876667,24,173.83393
3.165556,13,175.245006
2.652222,16,178.330961
4.62,19,180.388172
4.277778,21,182.73246
2.652222,12,184.226994
4.192222,20,186.446072
4.791111,19,188.484989
4.534444,21,191.045573
3.764444,18,192.854788
2.737778,11,194.048601
4.277778,18,196.183865
3.336667,18,198.255148
4.62,21,200.593738
4.277778,20,202.840905
4.705556,21,205.325308
5.133333,24,207.96041
4.448889,25,211.861729
3.764444,15,213.619902
4.705556,21,215.957161
2.823333,14,217.525673
4.021111,21,220.080599
3.85,16,221.866428
3.507778,16,223.615191
4.705556,21,226.01784
4.62,23,228.472495
5.475556,21,230.895818
2.053333,9,231.887977
4.876667,19,234.000247
4.62,22,236.511047
5.304444,24,239.145556
3.85,21,241.475338
3.764444,23,245.336679
2.566667,14,246.963208
4.791111,24,249.707312
3.422222,13,251.102366
4.962222,21,253.401657
5.218889,21,255.793197
5.133333,24,258.38595
4.705556,21,260.869823
4.705556,23,263.505003
4.277778,17,265.615101
4.448889,21,267.960421
4.106667,18,269.976493
3.336667,14,271.555229
4.534444,24,274.188687
3.336667,15,275.869318
4.277778,17,279.118681
4.534444,17,281.114409
5.047778,23,283.818923
4.192222,18,285.764178
4.705556,19,287.82435
3.336667,17,289.708872
4.363333,19,291.874693
4.448889,18,293.98531
4.106667,19,296.148193
4.021111,17,298.094074
5.475556,26,301.185191
4.277778,20,303.357008
3.935556,14,304.896754
4.876667,21,307.328289
5.047778,29,310.560105
3.422222,16,313.665703
4.62,19,315.741073
4.62,23,318.269344
6.16,25,321.102109
5.561111,21,323.596973
5.988889,26,326.570899
2.481111,11,327.702677
3.165556,15,329.422537
3.678889,17,331.363163
4.791111,24,333.985064
5.047778,22,336.621842
3.336667,17,338.589487
5.133333,20,340.879945
5.218889,24,343.706728
3.422222,16,346.797689
5.646667,26,349.768484
2.823333,11,350.946385
5.39,26,353.86639
4.277778,18,355.768345
5.39,22,358.253781
3.08,15,359.987291
3.336667,13,361.360129
4.363333,19,363.430797
4.876667,21,365.85652
4.962222,20,368.026362
4.021111,18,370.023971
5.646667,21,372.384939
4.021111,17,374.202556
6.587778,29,377.568375
4.962222,20,380.964638
4.962222,22,383.511688
3.593333,17,385.272589
6.074444,28,388.649494
4.62,24,391.200481
3.422222,17,393.116067
5.047778,23,395.716241
3.85,15,397.480571
4.277778,19,399.643956
4.705556,18,401.765685
3.764444,16,403.480751
4.448889,19,405.778491
3.764444,19,407.839779
4.62,19,409.899432
4.363333,23,413.802781
2.566667,15,415.400553
3.507778,20,417.641895
3.165556,14,419.360466
4.876667,21,421.779088
2.224444,9,422.832393
4.705556,20,425.067022
3.85,17,426.833458
3.593333,13,428.320748
4.363333,17,430.370477
2.481111,13,431.799226
3.678889,17,433.618481
4.192222,19,435.917021
3.85,18,437.939383
4.534444,20,440.179813
3.935556,18,442.2318
3.85,18,444.271712
3.336667,17,447.332844
4.876667,20,449.491507
4.962222,24,452.203034
4.192222,19,454.495339
5.047778,23,457.144348
4.534444,18,459.403878
2.481111,11,460.614305
3.935556,18,462.538262
4.021111,18,464.429817
5.903333,28,467.531509
4.705556,21,469.975463
3.507778,17,472.013677
5.561111,26,474.870674
3.678889,17,476.786342
4.363333,18,479.895644
5.475556,19,482.010258
4.106667,18,484.029337
5.133333,21,486.379754
4.876667,22,489.058213
3.251111,16,490.92588
4.962222,20,493.120508
5.475556,27,496.073174
3.593333,16,497.864376
5.732222,27,500.869807
5.047778,23,503.43015
3.764444,17,505.347823
5.903333,26,508.24049
3.764444,15,509.872684
3.165556,14,511.519439
5.304444,26,515.774343
3.935556,15,517.557185
5.047778,20,519.928493
4.876667,21,522.318951
4.277778,19,524.542824
5.218889,25,527.17634
3.593333,16,528.880605
4.705556,23,531.487332
3.593333,18,533.448967
4.534444,22,535.845298
4.106667,19,537.950395
5.218889,25,540.863823
4.876667,26,543.6519
4.363333,21,547.392351
5.133333,22,549.895777
4.705556,22,552.550642
4.106667,21,555.009907
5.475556,24,557.690772
3.85,19,559.807244
3.336667,17,561.648957
6.331111,24,564.354845
1.711111,7,565.13
5.561111,24,567.627427
4.962222,23,570.337289
4.962222,21,572.693673
4.534444,20,574.845217
5.047778,23,577.527002
4.534444,22,581.26611
3.08,17,583.291041
2.908889,13,584.801493
3.85,19,586.971941
4.363333,21,589.356294
4.534444,19,591.231342
4.876667,21,593.529651
3.85,15,595.119564
4.791111,22,597.617908
5.133333,26,600.707303
3.764444,18,602.662117
4.021111,18,604.966275
5.133333,25,607.566196
5.047778,22,609.948464
4.62,21,613.82701
4.192222,21,616.318402
5.218889,20,618.831566
4.106667,22,621.399804
4.448889,18,623.409691
4.448889,19,625.31529
5.39,24,627.8309
4.791111,23,630.460514
5.475556,24,633.229794
5.475556,23,635.820841
5.903333,22,638.229877
5.817778,25,641.118961
5.475556,25,644.062665
4.705556,23,648.118096
5.732222,26,650.98098
4.448889,21,653.535851
5.475556,24,656.080371
5.561111,26,658.960558
5.646667,26,661.676216
5.304444,25,664.710361
6.074444,25,667.380866
5.218889,24,670.086092
4.876667,20,672.33024
5.304444,24,675.082938
5.218889,22,677.722793
5.903333,26,682.123437
5.561111,29,685.534392
5.39,22,687.857911
4.192222,23,690.608136
5.988889,24,693.396506
5.903333,26,696.568337
5.903333,28,699.406575
5.39,28,702.21937
6.245556,30,705.456781
4.448889,19,707.423778
5.817778,26,710.228302
6.074444,30,714.892919
5.475556,25,717.673474
5.903333,26,720.352355
6.673333,27,723.26299
4.448889,23,725.567774
5.903333,23,728.130724
4.876667,23,730.444092
5.646667,23,732.804578
6.331111,27,735.381032
4.791111,23,737.802853
5.133333,22,740.062384
5.047778,23,742.529715
4.277778,20,744.723623
6.074444,28,749.018933
4.448889,19,750.990756
5.903333,25,753.617761
5.39,25,756.296105
4.876667,25,758.735763
5.39,24,761.308647
5.304444,29,764.247789
5.304444,21,766.438887
5.817778,25,769.036876
4.962222,20,771.218685
4.876667,21,774.020751
5.903333,31,777.91861
5.817778,27,782.217093
5.817778,26,785.28826
6.331111,29,788.502562
5.732222,25,791.41104
4.705556,21,793.663925
6.245556,30,796.92303
5.304444,30,800.188265
6.245556,30,803.512029
6.331111,29,806.791871
6.502222,30,810.131864
6.245556,28,813.253013
6.245556,29,817.874178
5.646667,29,821.271197
5.988889,27,824.331075
6.16,30,827.58521
5.39,23,830.034521
7.443333,34,833.731847
6.673333,26,836.56673
6.416667,29,839.770516
4.876667,23,842.453173
6.502222,26,845.152616
6.587778,28,849.675052
6.758889,25,852.663724
7.015556,29,856.030271
6.502222,29,859.411953
4.962222,25,862.188864
6.331111,26,865.35153
7.272222,26,868.522338
4.876667,28,872.193872
5.646667,24,875.112749
5.561111,26,878.021488
5.646667,26,880.45079
5.817778,27,884.771501
5.646667,24,887.253053
6.502222,29,890.476142
5.817778,24,893.021855
6.16,27,895.819275
4.448889,20,897.763576
5.133333,22,900.055637
7.101111,31,903.401192
5.903333,25,906.180963
6.245556,27,908.980274
4.021111,19,911.067137
5.646667,27,913.747003
6.416667,32,918.749857
6.502222,29,921.771933
5.817778,27,924.617572
7.015556,36,928.363484
6.416667,30,931.376235
6.502222,28,934.446933
5.475556,24,936.913651
5.732222,24,939.470539
6.844444,29,942.374855
5.561111,23,944.709715
6.758889,33,948.282851
6.502222,33,952.980858
6.416667,32,956.343999
6.587778,31,959.424384
6.074444,28,962.016413
6.245556,28,965.159794
4.62,26,967.796527
6.93,30,970.974725
6.93,27,973.702836
5.903333,26,976.296854
6.673333,28,979.077544
6.245556,29,983.570001
5.475556,25,986.210569
7.015556,35,989.849492
6.502222,29,992.654258
6.416667,28,995.423473
4.962222,19,997.398545
6.502222,26,1000.168917
7.101111,29,1003.184681
6.587778,28,1006.006137
6.502222,24,1008.34609
6.587778,28,1011.134842
5.817778,25,1013.772639
6.16,28,1018.079142
6.331111,29,1021.248299
5.39,28,1023.914295
6.673333,32,1027.192701
6.587778,32,1030.490742
4.962222,22,1032.773011
6.245556,29,1035.77986
6.502222,30,1038.751243
6.074444,24,1041.08653
7.272222,28,1044.019002
5.646667,22,1046.439658
6.844444,32,1051.381752
5.903333,28,1054.142561
7.7,32,1057.305965
6.844444,34,1060.48579
6.416667,28,1063.403761
5.047778,25,1065.945026
5.988889,27,1068.716122
7.101111,33,1071.969258
6.331111,31,1075.214735
5.988889,28,1078.245178
5.133333,25,1080.804137
5.988889,28,1085.091229
6.331111,30,1088.115369
5.646667,24,1090.56978
6.93,33,1093.837528
7.186667,32,1096.931315
6.416667,34,1100.44909
7.614444,35,1103.926668
4.876667,22,1106.131675
5.561111,21,1108.409388
6.502222,29,1111.319336
6.502222,30,1114.523735
6.245556,25,1118.308188
6.416667,32,1121.531286
7.272222,34,1125.104945
5.39,26,1127.543148
6.673333,30,1130.520429
7.186667,31,1133.546716
6.074444,26,1136.077843
5.732222,24,1138.541481
5.903333,27,1141.486348
6.587778,30,1144.689618
7.956667,30,1147.868461
6.758889,36,1152.809965
5.646667,23,1155.1066
6.16,29,1158.044103
7.7,33,1161.20506
7.015556,30,1164.123997
6.074444,25,1166.760211
7.272222,36,1170.702828
7.101111,37,1174.697443
6.673333,35,1178.476062
6.758889,27,1181.331411
7.186667,34,1185.828107
6.16,29,1188.809102
6.074444,28,1191.670594
5.988889,27,1194.259851
7.7,36,1197.49628
7.101111,30,1200.485173
7.272222,33,1203.941416
7.443333,36,1207.659759
6.758889,32,1211.250657
7.186667,41,1215.495164
7.015556,31,1219.657312
8.127778,32,1222.937406
5.475556,25,1225.257023
7.357778,33,1228.460454
8.127778,34,1231.74398
8.127778,35,1235.491262
6.587778,29,1238.328702
6.502222,31,1241.812006
7.956667,39,1245.752801
7.7,36,1249.466761
7.785556,36,1254.128239
6.502222,24,1256.503952
7.956667,30,1259.373468
7.186667,33,1262.348161
6.245556,28,1265.208898
7.871111,36,1268.864223
7.186667,33,1272.441771
7.614444,30,1275.640688
7.101111,37,1279.262239
7.528889,31,1282.645569
7.956667,33,1286.964988
7.272222,34,1290.308949
6.758889,32,1293.229218
7.956667,29,1295.884076
7.785556,36,1299.673617
6.502222,31,1302.727063
7.272222,36,1306.646232
7.443333,38,1310.33067
6.502222,28,1313.41165
7.357778,31,1317.655507
7.528889,33,1321.017794
7.357778,36,1324.374629
6.16,29,1326.851224
7.186667,28,1329.478543
7.101111,30,1332.715493
6.587778,25,1335.280167
6.587778,29,1338.171628
7.101111,31,1341.318556
5.475556,26,1343.974878
7.272222,34,1347.602744
7.101111,31,1351.890988
6.758889,29,1354.7441
7.614444,32,1357.599226
7.101111,29,1360.285971
7.186667,33,1363.472825
7.785556,37,1367.268532
7.785556,34,1370.777329
7.015556,33,1374.1426
6.93,33,1377.66409
6.416667,29,1380.838796
8.127778,37,1385.686659
7.357778,36,1389.022072
7.186667,36,1392.472941
8.298889,41,1396.476287
7.7,31,1399.632568
7.186667,33,1403.005334
7.785556,33,1406.539763
7.101111,29,1409.414851
7.528889,36,1413.284296
7.015556,35,1418.075792
7.443333,28,1420.715538
6.758889,29,1423.438215
6.93,30,1426.292174
6.93,31,1429.288647
7.101111,33,1432.784307
7.443333,33,1435.78694
7.956667,34,1439.387594
6.758889,34,1443.200803
8.042222,34,1446.711292
7.186667,30,1450.865358
7.272222,31,1453.717565
7.186667,30,1456.657054
7.272222,33,1459.864853
7.956667,38,1463.586149
7.272222,25,1466.14523
7.101111,27,1468.781489
7.101111,30,1471.920468
7.357778,32,1475.482027
7.015556,30,1478.396177
7.528889,29,1481.609421
7.785556,38,1486.27804
8.127778,36,1489.786791
7.614444,32,1492.888026
8.127778,41,1496.865362
7.614444,33,1500.153634
7.956667,32,1503.294936
7.357778,31,1506.466251
7.101111,29,1509.380666
7.101111,35,1512.917006
7.614444,30,1517.498171
8.298889,35,1520.982081
7.443333,37,1524.677721
7.101111,31,1527.875889
7.272222,30,1530.736458
8.042222,31,1533.824298
8.042222,39,1537.873287
7.272222,31,1540.991378
7.528889,30,1544.043152
7.186667,31,1547.021097
7.443333,34,1551.553461
8.042222,38,1555.529083
6.673333,28,1558.365608
6.587778,29,1561.171572
7.015556,31,1564.146188
6.416667,29,1567.059209
7.443333,33,1570.386155
7.785556,32,1573.63502
7.614444,33,1576.896332
7.443333,32,1579.911965
5.817778,25,1582.424761
6.93,30,1586.630899
7.443333,31,1589.785226
7.101111,30,1592.742229
7.272222,34,1596.063289
7.443333,30,1599.180697
8.127778,35,1602.584305
7.528889,34,1606.041731
6.93,32,1609.177798
7.614444,27,1611.781967
7.614444,36,1615.37833
7.956667,35,1620.22839
7.7,33,1623.478077
7.101111,29,1626.36123
7.272222,33,1629.771448
7.357778,32,1632.966053
6.93,33,1636.40448
7.272222,29,1639.265171
7.956667,37,1642.762029
7.7,33,1646.117831
8.213333,36,1649.677724
6.93,30,1653.886688
7.956667,32,1657.08342
7.015556,33,1660.219206
7.357778,33,1663.571146
6.587778,30,1666.680599
6.502222,27,1669.376158
6.93,30,1672.387092
7.528889,33,1675.523151
8.213333,36,1679.249849
6.758889,30,1682.34871
7.7,37,1687.141834
7.785556,32,1690.105397
7.272222,27,1692.854784
7.443333,36,1696.469499
7.7,36,1700.147874
7.186667,31,1703.406985
7.186667,32,1706.417878
7.443333,32,1709.648528
7.785556,34,1713.125313
6.502222,27,1715.706298
7.785556,37,1720.569159
6.331111,26,1722.945389
8.213333,38,1726.888153
7.956667,37,1730.644404
7.7,34,1734.041212
7.357778,32,1737.021075
7.015556,31,1740.130226
6.758889,31,1743.394188
7.7,34,1746.639573
7.101111,33,1749.96928
7.272222,29,1753.819568
6.502222,26,1756.465714
7.7,30,1759.579228
8.555556,35,1762.986254
7.015556,32,1766.340699
7.614444,32,1769.459759
7.528889,32,1772.618068
7.614444,33,1776.034292
7.956667,35,1779.747202
7.7,40,1783.482686
7.528889,35,1788.138128
7.7,40,1792.128692
7.357778,31,1795.217901
7.614444,36,1798.850226
7.528889,37,1802.547005
7.443333,32,1805.777248
7.443333,38,1809.624085
7.186667,37,1813.3587
7.614444,32,1816.328155
8.042222,37,1821.191406
7.956667,32,1824.357082
7.956667,36,1828.043924
7.357778,36,1831.651
7.528889,35,1835.172675
8.213333,36,1838.791072
7.186667,33,1842.09655
7.357778,34,1845.387307
6.758889,32,1848.434102
7.956667,30,1852.621151
7.871111,38,1856.242064
7.528889,31,1859.371697
7.871111,39,1863.254117
7.956667,34,1866.588404
7.614444,29,1869.615802
7.528889,35,1873.191069
7.528889,36,1876.708311
7.614444,36,1880.092189
7.785556,37,1885.036174
7.272222,34,1888.336841
7.443333,31,1891.538411
7.7,39,1895.163679
7.956667,36,1898.865821
7.7,34,1902.200798
7.785556,32,1905.607675
7.186667,28,1908.270272
7.7,39,1912.032574
7.871111,31,1915.140456
7.357778,31,1919.556293
7.956667,36,1923.151368
7.357778,31,1926.237803
7.956667,35,1929.600841
7.443333,31,1932.654676
7.443333,32,1935.907607
7.956667,35,1939.470068
8.298889,42,1943.283519
8.213333,27,1945.933201
7.785556,32,1949.216674
8.127778,33,1953.415995
7.785556,33,1956.680472
7.357778,34,1960.14396
7.357778,32,1963.294301
7.528889,32,1966.633112
8.213333,38,1970.418696
7.528889,34,1973.530315
8.384444,33,1976.753661
7.101111,34,1980.135932
7.956667,37,1983.709714
7.956667,39,1988.829354
7.614444,32,1991.783262
7.101111,36,1995.264532
7.956667,36,1998.744389
8.042222,33,2002.05593
7.871111,35,2005.419112
7.528889,33,2008.539293
7.015556,26,2011.135491
7.785556,30,2014.09497
7.443333,34,2018.834329
7.015556,33,2022.038438
8.127778,38,2025.813499
7.186667,33,2028.992929
8.127778,30,2031.930137
7.785556,33,2034.936105
7.871111,29,2037.672724
7.7,40,2041.586756
7.871111,36,2045.046551
7.528889,32,2048.189157
7.614444,34,2052.922014
8.298889,35,2056.423478
7.956667,36,2060.02076
7.528889,32,2063.136028
7.7,35,2066.456871
7.528889,35,2069.651634
8.298889,36,2073.22447
8.127778,34,2076.669543
7.7,33,2079.852365
6.587778,26,2082.556271
7.785556,35,2087.344771
7.785556,34,2090.649603
7.614444,35,2094.265739
8.213333,34,2097.444481
6.502222,26,2099.668048
8.213333,31,2102.584246
7.785556,35,2106.058317
8.042222,34,2109.517009
8.127778,37,2113.302857
8.384444,36,2116.704251
8.298889,35,2121.554564
7.785556,30,2124.670725
7.614444,34,2128.246448
6.416667,28,2130.862176
7.614444,36,2134.252765
8.127778,37,2137.878721
7.956667,33,2140.925308
7.7,38,2144.65127
7.015556,31,2147.666185
7.528889,33,2150.821291
8.127778,39,2156.265535
7.785556,36,2159.827284
7.871111,35,2163.11132
8.555556,41,2166.83688
8.127778,34,2170.189654
7.956667,35,2173.460077
7.785556,34,2176.726115
7.357778,30,2179.613859
7.956667,36,2183.345576
7.7,34,2188.104617
8.384444,35,2191.695278
8.042222,35,2195.197008
8.042222,38,2198.578804
8.298889,42,2202.882853
7.357778,28,2205.66516
7.7,36,2209.338603
7.7,30,2211.997877
7.7,32,2215.067837
8.213333,38,2218.876985
8.042222,35,2223.820889
7.614444,38,2227.451757
7.785556,37,2231.032715
7.443333,35,2234.575188
8.042222,37,2238.058352
7.528889,32,2241.153116
8.213333,36,2244.616779
7.614444,32,2247.883943
8.298889,35,2251.642148
7.614444,36,2257.054012
7.443333,32,2260.08526
7.871111,31,2263.068577
7.528889,34,2266.415407
7.528889,35,2269.814796
8.298889,39,2273.551643
8.298889,38,2277.395518
7.528889,32,2281.079229
7.785556,35,2286.007823
7.7,33,2291.349304
8.298889,37,2295.160465
8.042222,37,2299.113719
6.758889,32,2302.720419
6.93,35,2306.326708
7.785556,39,2310.261016
7.7,37,2314.156652
7.956667,30,2317.450175
8.127778,33,2322.419236
8.127778,39,2326.63538
7.785556,33,2330.160858
7.614444,36,2334.439568
7.956667,40,2338.944655
7.871111,36,2343.162104
8.213333,43,2347.797533
7.956667,36,2351.608148
7.956667,35,2356.75175
7.871111,34,2360.660743
8.127778,37,2364.951524
7.871111,32,2368.653078
7.186667,29,2372.010907
7.871111,36,2375.75566
7.785556,32,2379.234984
7.7,35,2383.071416
8.042222,36,2386.865418
7.956667,33,2391.599924
8.042222,32,2394.86783
7.785556,35,2398.192389
7.528889,34,2401.743438
7.785556,34,2404.944267
8.127778,36,2408.594953
7.785556,34,2411.851978
7.272222,30,2414.676708
8.127778,35,2418.222183
8.384444,36,2423.300573
7.528889,31,2426.307651
