# {"t_start": 1753519640.8644903, "env_id": "PctContinuous-v0"} 
r,l,t
1.882222,8,2.75794
5.475556,23,4.747575
3.251111,14,5.883588
4.106667,20,7.822974
4.791111,22,9.774262
5.218889,25,13.294225
4.277778,19,15.092304
5.133333,28,17.631448
5.817778,29,20.270432
3.935556,15,21.763472
3.678889,15,23.319324
3.935556,19,25.167053
4.534444,22,27.44292
4.277778,21,29.572835
2.737778,16,31.166339
4.705556,22,33.191756
3.935556,18,34.94749
1.454444,10,35.904845
3.422222,17,37.702175
4.705556,20,40.004611
5.133333,24,42.87651
2.908889,12,45.206458
4.62,22,47.734838
5.304444,23,50.128149
4.363333,19,52.166356
2.224444,14,53.94012
4.106667,16,55.915577
3.336667,17,57.860742
4.106667,21,60.399755
3.764444,18,62.486733
5.646667,22,64.998022
4.962222,18,67.085571
4.448889,20,69.318003
2.737778,14,70.713949
3.85,19,72.828455
3.165556,14,74.444043
3.593333,18,76.477855
5.304444,25,80.614333
3.336667,18,82.520416
4.876667,22,85.071568
2.481111,12,86.421858
4.363333,20,88.685901
3.593333,16,90.521269
4.363333,20,92.797799
1.283333,6,93.452659
3.764444,18,95.487225
3.165556,19,97.503472
5.903333,24,100.11726
2.566667,13,101.761969
3.764444,18,103.404428
3.935556,16,105.257816
2.31,9,106.219042
4.876667,21,108.803469
4.448889,20,112.120423
5.218889,24,114.774256
4.277778,21,117.218039
4.277778,17,119.161397
1.368889,6,119.962357
4.192222,19,122.010545
4.876667,19,124.158073
3.507778,18,126.149064
4.962222,24,128.605872
3.593333,14,130.098037
4.876667,20,132.367921
3.85,19,134.498452
4.534444,22,137.099597
4.705556,21,139.374477
4.534444,21,141.940161
4.448889,22,145.317564
4.62,23,147.910417
4.277778,18,150.003431
4.534444,21,152.283898
3.935556,16,154.288545
3.336667,17,156.12114
5.304444,24,158.746432
4.021111,19,160.933545
3.678889,15,162.540625
3.422222,14,164.031378
3.678889,16,166.026833
4.363333,21,168.325002
2.994444,15,170.013107
3.593333,18,172.088768
3.336667,16,173.961197
3.08,14,175.427528
2.31,13,176.89335
4.62,22,180.512248
4.277778,19,182.666439
2.823333,17,184.713475
3.593333,17,186.55778
3.08,15,188.221198
5.39,26,191.232777
4.62,19,193.237523
4.363333,20,195.560458
4.705556,21,197.872444
4.962222,23,200.556384
5.304444,25,203.333461
4.192222,23,206.004165
4.534444,19,208.053709
4.021111,18,210.065195
4.962222,22,213.737273
4.277778,18,215.799502
5.39,20,218.039714
3.08,12,219.57434
4.021111,23,222.163566
4.277778,22,224.572895
4.106667,21,226.857491
5.304444,26,229.934844
4.448889,21,232.18792
4.363333,21,234.487611
4.876667,19,236.68218
3.422222,14,238.259082
3.08,16,239.903811
4.62,18,241.95749
4.277778,23,245.875571
4.705556,20,248.20216
2.737778,15,249.807756
3.85,19,251.94842
5.903333,25,254.7382
6.16,28,257.760107
5.047778,21,260.248892
4.705556,26,263.240557
2.31,10,264.425148
4.277778,20,266.773403
4.106667,16,268.524459
4.277778,19,270.803818
5.133333,23,273.21472
3.422222,14,274.817524
2.908889,12,276.375904
4.192222,17,279.469169
6.245556,26,282.352026
3.764444,17,284.444526
4.021111,18,286.352451
4.62,20,288.449671
4.277778,20,290.802504
2.31,10,291.939734
4.448889,18,294.02962
4.705556,23,296.643295
4.448889,19,298.826879
2.823333,14,300.574905
4.363333,23,303.108977
3.85,19,305.082088
4.791111,22,307.727864
4.277778,19,309.912688
4.363333,21,313.502168
3.764444,19,315.589227
5.218889,23,318.09355
4.106667,19,320.306317
4.448889,22,322.738783
4.962222,19,325.069866
3.593333,17,326.943532
5.732222,25,329.803306
3.251111,17,331.669601
4.876667,21,333.950307
3.678889,13,335.52114
2.138889,9,336.557881
4.62,25,339.442054
4.962222,22,342.058446
4.106667,18,344.129026
4.192222,17,347.312692
4.106667,18,349.419228
5.218889,22,351.70467
2.823333,13,353.128103
1.711111,10,354.34576
5.561111,24,356.892597
3.764444,21,359.413863
4.192222,24,361.913422
3.593333,19,364.050779
4.791111,21,366.435905
3.08,14,367.953007
3.251111,14,369.504898
