# {"t_start": 1753519640.6798928, "env_id": "PctContinuous-v0"} 
r,l,t
4.277778,23,4.187395
2.652222,18,5.731177
2.224444,10,6.756674
2.053333,10,7.676922
2.138889,11,8.657461
3.08,15,9.966919
3.764444,15,12.464025
5.218889,22,14.566796
3.422222,14,15.829949
4.363333,21,17.808157
5.39,22,19.850729
2.395556,11,20.865453
4.192222,17,22.613889
4.62,21,24.61841
2.908889,16,26.209556
2.737778,14,27.711928
5.047778,21,29.916173
3.85,17,31.466874
4.791111,21,33.430065
2.994444,14,34.762901
5.304444,26,37.456929
3.422222,18,39.488319
4.705556,21,41.843885
4.705556,23,45.639643
4.534444,23,48.152292
4.791111,23,50.686218
4.106667,18,52.569531
3.85,21,55.324043
4.534444,20,57.636064
5.304444,25,60.589053
2.994444,13,62.084469
4.106667,19,64.239578
4.962222,21,66.565911
4.962222,22,69.213025
5.047778,24,71.519289
4.021111,20,73.821553
4.363333,17,75.806681
4.876667,22,79.918352
4.106667,20,81.812542
3.764444,17,83.693998
3.593333,16,85.58385
3.593333,16,87.3502
3.764444,21,89.673003
4.534444,20,92.006394
3.08,15,93.673595
3.165556,15,95.367944
4.106667,17,97.316262
4.192222,19,99.289256
3.422222,20,101.528172
4.021111,18,103.34948
2.737778,14,104.983367
4.277778,23,107.722728
4.277778,17,109.606682
3.678889,15,112.341104
3.764444,20,114.617171
4.277778,23,117.187658
3.507778,15,118.94188
1.882222,12,120.477385
4.192222,19,122.578333
4.363333,21,124.836698
1.796667,8,125.76956
3.507778,14,127.278816
3.251111,17,129.026574
3.165556,14,130.442598
3.678889,19,132.595541
3.507778,14,134.181054
4.277778,21,136.724241
2.481111,11,137.852445
3.593333,17,139.762981
4.277778,21,142.275753
3.165556,23,145.816836
4.363333,22,148.234033
4.448889,21,150.686038
4.192222,20,152.895691
5.047778,25,155.866999
4.876667,23,158.399696
2.994444,14,160.057047
5.047778,26,162.827091
2.566667,11,164.024183
3.678889,15,165.876626
3.678889,16,167.568403
4.363333,20,169.832819
4.876667,19,172.038913
5.218889,25,174.812548
3.85,17,176.623871
3.251111,14,179.481929
5.047778,21,181.802279
4.876667,24,184.617081
2.908889,12,185.974724
3.764444,20,188.242771
3.165556,14,189.932727
3.85,18,191.889991
4.363333,19,193.828172
4.021111,19,196.11469
5.903333,25,198.881528
2.994444,13,200.197173
3.678889,14,201.895531
2.224444,9,202.957795
4.106667,17,204.944362
4.277778,20,207.268345
4.277778,21,209.400158
4.876667,20,212.838342
4.705556,21,215.340216
3.678889,21,217.621123
4.106667,20,220.098741
3.165556,15,221.770292
3.507778,15,223.419301
3.507778,18,225.391462
4.021111,17,227.253288
3.935556,19,229.408474
5.218889,29,232.658858
3.336667,17,234.542986
4.62,20,236.869969
3.764444,19,238.982192
3.165556,15,240.555448
4.791111,21,242.928031
4.363333,26,247.152507
4.448889,20,249.446273
3.678889,17,251.298178
4.363333,19,253.404448
4.192222,22,255.876631
3.85,18,257.849271
4.448889,18,259.938848
4.448889,20,262.204143
2.908889,12,263.572352
5.047778,20,266.025825
4.876667,25,268.77663
4.192222,21,271.259409
4.448889,18,273.185835
4.106667,17,275.041607
3.935556,16,277.085799
5.218889,22,280.731641
4.021111,16,282.49683
3.507778,15,284.342371
2.395556,12,285.689489
3.678889,16,287.401048
3.593333,19,289.551571
3.507778,16,291.329294
3.764444,20,293.573578
3.593333,20,295.945582
4.021111,18,297.881616
2.31,13,299.470363
3.85,18,301.658428
3.764444,20,303.801635
4.192222,18,305.764095
4.021111,17,307.771815
1.54,7,308.497584
2.823333,12,309.88235
4.62,23,313.717722
4.192222,21,316.001295
4.192222,20,318.272219
4.705556,20,320.569019
4.277778,17,322.518922
4.705556,19,324.827868
4.277778,20,326.944005
4.534444,18,328.980067
5.218889,23,331.638696
4.62,21,333.922229
4.277778,19,336.128268
2.566667,10,337.380315
3.593333,17,339.243957
5.988889,28,342.604651
5.133333,21,346.212196
3.08,13,347.686516
2.652222,10,348.881811
5.475556,20,351.047528
4.277778,20,353.123647
5.988889,24,355.830703
4.62,20,358.107733
4.534444,26,360.997377
4.021111,21,363.372393
4.448889,20,365.669066
4.363333,20,367.850585
4.791111,23,370.328582
2.908889,15,372.055945
5.133333,30,375.370237
2.994444,14,377.033188
4.277778,23,380.794644
5.39,24,383.499882
4.534444,20,385.567731
4.962222,25,388.405425
1.625556,7,389.411854
4.791111,22,391.759179
4.192222,17,393.701152
5.218889,20,395.955042
4.962222,20,398.363285
2.395556,9,399.306988
4.106667,18,401.401178
4.62,20,403.570261
4.791111,21,406.040517
3.678889,15,407.664196
