# {"t_start": 1753519640.7731009, "env_id": "PctContinuous-v0"} 
r,l,t
4.448889,21,3.96224
4.106667,20,5.665413
2.823333,15,7.18038
5.304444,24,9.243896
4.192222,21,12.294124
4.962222,22,14.379676
4.106667,24,16.595996
3.593333,16,18.087136
4.534444,22,20.038292
4.192222,18,21.842703
4.277778,19,23.828732
4.534444,19,25.645019
4.448889,24,28.109815
4.192222,20,30.155376
3.165556,19,31.937249
3.336667,15,33.356643
5.304444,20,35.265737
5.133333,21,37.467913
2.823333,12,38.833212
5.047778,21,41.226823
4.021111,19,44.525449
3.764444,18,46.52537
3.251111,17,48.417286
3.507778,17,50.235251
3.165556,15,51.835548
6.245556,25,54.837131
4.876667,25,57.857511
3.336667,20,60.230337
3.422222,18,62.381206
4.277778,19,64.534653
4.705556,24,67.261983
2.224444,10,68.392208
4.448889,20,70.51044
5.39,26,73.376546
4.962222,24,76.075874
4.106667,17,79.68433
2.053333,11,80.610223
3.764444,18,82.518185
5.475556,23,85.175531
4.363333,18,87.178556
4.192222,17,89.043404
4.448889,20,91.401449
4.705556,21,93.724715
5.817778,25,96.590085
2.481111,12,97.814964
4.705556,20,100.018012
4.534444,17,101.980226
3.678889,17,103.665532
3.08,17,105.537639
4.448889,23,108.345869
4.021111,19,110.306256
3.593333,18,113.457447
3.85,21,115.891903
4.448889,20,118.173742
3.507778,13,119.855933
4.962222,25,122.584668
2.737778,14,124.144115
3.336667,16,125.960485
4.277778,22,128.221441
4.363333,26,131.006457
4.534444,20,133.222262
4.192222,18,135.231765
2.737778,12,136.724977
4.192222,17,138.606604
5.304444,26,141.550453
4.962222,21,144.970562
3.08,14,146.46981
1.54,8,147.427121
4.448889,17,149.471495
5.218889,23,151.961304
3.593333,19,154.085334
4.363333,17,156.122115
3.422222,15,157.810798
4.363333,21,160.177531
4.448889,18,162.080147
4.021111,22,164.519279
4.448889,18,166.673642
1.967778,8,167.48515
2.908889,15,169.147275
4.277778,19,171.411851
4.363333,22,173.831495
3.422222,17,175.765512
4.62,19,179.161856
4.705556,19,181.146505
3.165556,14,182.753474
2.481111,9,183.9042
1.283333,7,184.616601
3.935556,18,186.658956
5.475556,21,188.993249
2.823333,12,190.53083
4.363333,22,192.782866
4.705556,22,195.29085
5.903333,26,198.278504
4.876667,20,200.536968
5.047778,23,203.056956
3.764444,20,205.443079
3.507778,17,207.415365
3.764444,21,209.567363
3.336667,19,213.017436
5.218889,21,215.354701
4.363333,19,217.475449
5.39,25,220.502548
4.277778,20,222.6899
4.791111,23,225.239703
3.251111,16,226.952974
5.561111,22,229.443269
4.277778,19,231.586619
3.422222,18,233.56826
5.218889,24,236.314882
4.705556,20,238.499374
3.165556,14,239.956685
5.047778,18,242.044049
4.791111,21,245.722023
4.705556,22,248.307893
5.646667,27,251.22411
3.507778,18,253.256476
5.304444,29,256.466015
4.021111,21,258.761191
2.652222,13,260.349521
4.62,20,262.616205
4.448889,21,265.212554
4.192222,21,267.514662
3.251111,16,269.279045
5.817778,28,272.443092
4.448889,20,274.67502
2.566667,12,275.998938
2.994444,14,278.981122
2.652222,11,280.224182
4.448889,20,282.43501
3.764444,16,284.398705
4.021111,19,286.455718
4.62,20,288.567043
5.561111,22,291.188643
4.791111,21,293.524548
5.133333,24,296.321746
4.62,18,298.301246
3.507778,17,300.479014
6.16,31,303.814047
4.791111,20,306.184516
4.192222,21,308.447295
3.08,15,310.132258
3.85,17,313.3068
4.62,20,315.498794
3.85,17,317.442993
4.791111,24,320.226798
4.277778,20,322.443394
4.62,21,324.97608
5.218889,22,327.28921
4.277778,18,329.349572
4.277778,17,331.30455
4.791111,24,333.929818
5.133333,22,336.477986
5.39,24,339.266983
4.791111,25,342.241637
3.85,19,345.656186
3.764444,19,347.8995
4.277778,18,349.889401
4.192222,20,351.969756
4.192222,21,354.43116
3.764444,19,356.429238
3.85,19,358.531538
5.304444,24,361.282607
4.62,18,363.287303
3.336667,16,365.151659
3.165556,14,366.699849
4.62,19,368.674791
3.165556,13,370.157996
4.021111,19,372.314968
