# {"t_start": 1753442983.8402274, "env_id": "PctDiscrete-v0"} 
r,l,t
4.192222,20,2.529798
2.994444,11,2.910951
4.106667,17,3.44724
2.053333,8,3.825072
4.448889,23,4.598694
4.448889,17,5.232874
4.106667,21,6.031541
4.448889,19,6.748525
3.85,16,7.311378
3.935556,21,8.109575
3.85,16,8.6371
4.962222,20,9.40402
2.823333,12,9.871999
3.85,19,10.506611
4.534444,24,11.461069
4.277778,22,12.205406
6.074444,27,13.186716
4.363333,21,13.953076
4.448889,20,14.747366
3.507778,15,15.354214
4.448889,20,16.130117
3.678889,18,16.980328
4.791111,20,17.734547
5.047778,22,18.518682
2.908889,12,19.080758
3.593333,16,19.668282
4.534444,20,20.491665
4.448889,22,21.453767
4.705556,23,22.329632
1.026667,5,22.503289
3.507778,14,23.12539
4.876667,24,25.186298
5.133333,22,26.156487
4.448889,18,26.787243
3.935556,16,27.451584
2.481111,10,27.848746
3.764444,16,28.549541
3.251111,13,28.999382
2.395556,11,29.456064
2.138889,11,29.865243
3.422222,16,30.564854
4.62,21,31.326183
5.304444,20,32.166704
5.218889,22,32.97925
4.534444,21,33.762308
4.448889,20,34.539038
4.192222,16,35.126338
3.764444,18,35.947772
3.593333,17,36.545307
3.935556,19,37.239345
4.791111,22,38.184252
2.31,11,38.563393
2.823333,13,39.052513
4.277778,22,39.997135
5.133333,22,40.824747
4.021111,18,41.434149
2.737778,14,42.096432
2.566667,13,42.584795
3.507778,17,43.122957
4.277778,21,43.926745
4.277778,20,44.631046
4.62,18,45.279817
3.764444,21,46.174032
4.62,24,47.142286
5.304444,25,48.228324
3.422222,14,48.808391
3.507778,15,49.381312
3.336667,14,49.989244
3.165556,17,50.652379
2.481111,14,51.251744
4.363333,20,52.138998
4.106667,18,52.871089
3.507778,18,53.659479
5.133333,28,54.821659
3.507778,16,55.434508
5.047778,26,56.564209
5.133333,29,58.767929
4.192222,17,59.514633
3.336667,16,60.161972
5.561111,26,61.32738
4.962222,22,62.262071
3.08,13,62.822107
2.224444,12,63.366069
4.876667,22,64.199581
4.363333,23,65.146563
2.994444,17,65.83829
4.448889,26,66.925942
4.791111,19,67.707242
4.876667,23,68.605893
4.192222,20,69.448657
4.534444,21,70.320656
4.876667,26,71.40084
4.448889,20,72.273177
3.935556,18,73.018038
4.363333,23,73.988364
4.192222,20,74.693723
4.62,23,75.645956
4.62,21,76.427452
4.021111,23,77.350137
3.336667,18,78.216942
4.705556,20,78.982874
3.764444,21,79.919387
4.791111,20,80.784266
3.678889,20,81.657788
4.106667,18,82.486343
4.791111,20,83.279722
3.422222,17,84.081767
4.021111,18,84.779598
4.705556,19,85.492193
4.021111,15,86.141196
4.192222,19,86.88158
4.192222,20,87.676056
3.08,15,88.370797
5.047778,22,89.268039
2.994444,14,89.806125
4.62,21,91.984171
4.62,22,92.882985
4.876667,20,93.822747
3.935556,16,94.455008
2.481111,13,95.02964
4.448889,21,95.988563
2.652222,14,96.611329
5.39,25,97.672245
4.962222,22,98.58753
3.336667,20,99.42844
4.363333,16,100.141442
3.764444,17,100.817963
3.764444,19,101.514071
4.021111,22,102.554287
4.106667,18,103.225724
4.363333,19,103.956959
4.448889,24,105.016522
2.138889,9,105.382196
4.705556,21,106.327673
4.876667,20,107.095729
2.908889,13,107.620713
4.106667,19,108.380629
5.39,24,109.330233
3.08,14,109.941632
5.218889,23,111.065547
3.85,16,111.701828
1.967778,12,112.146762
3.422222,15,112.831619
4.791111,20,113.615627
3.422222,14,114.143666
4.021111,18,114.936714
6.331111,30,116.048909
3.85,21,117.001623
3.422222,17,117.666815
5.475556,20,118.497507
4.192222,15,119.165553
3.764444,19,120.021724
4.962222,23,121.143158
3.935556,15,121.781292
3.764444,16,122.424814
6.16,26,123.593557
4.277778,23,125.794298
7.015556,32,127.181477
2.138889,11,127.597537
3.165556,17,128.355585
4.791111,22,129.313041
3.593333,17,129.943288
3.678889,20,130.811574
5.218889,22,131.761004
2.994444,15,132.407803
4.106667,17,133.167798
3.165556,14,133.7601
3.336667,14,134.344332
5.047778,21,135.39305
5.732222,24,136.357557
4.021111,21,137.266766
3.764444,20,138.10209
4.705556,22,138.916689
4.791111,23,139.925255
2.908889,14,140.471208
4.962222,25,141.509201
3.507778,16,142.183107
4.962222,21,143.021719
5.218889,22,143.999661
4.192222,16,144.632924
4.791111,24,145.678981
4.62,20,146.456681
4.791111,20,147.254183
5.047778,22,148.190774
4.106667,21,149.069984
4.192222,18,149.982896
4.192222,17,150.63422
4.876667,23,151.57981
4.363333,20,152.413892
5.817778,24,153.384038
3.251111,17,154.110381
5.218889,24,155.094255
4.62,24,156.171438
5.561111,24,157.064943
3.593333,18,158.851463
4.106667,16,159.603014
4.448889,20,160.417589
2.737778,10,160.82428
5.218889,22,161.85623
4.962222,22,162.667713
4.448889,17,163.427916
2.994444,13,163.974713
5.218889,21,164.79747
5.133333,21,165.691954
4.534444,23,166.642405
5.218889,28,167.908937
5.304444,21,168.731372
3.507778,16,169.392419
3.251111,15,170.108283
3.336667,16,170.716464
5.817778,25,171.930798
4.106667,19,172.674963
4.791111,20,173.457754
4.962222,24,174.488471
3.85,18,175.176449
3.336667,16,175.951719
4.277778,21,176.848392
2.053333,12,177.308888
3.678889,20,178.308831
4.363333,20,179.107649
4.962222,25,180.112329
3.935556,22,181.170257
4.363333,21,182.015954
