# {"t_start": 1753442983.7615688, "env_id": "PctDiscrete-v0"} 
r,l,t
4.021111,19,2.583711
4.021111,17,3.163588
5.133333,19,3.754641
4.791111,21,4.603418
3.678889,16,5.13998
4.021111,21,5.953403
4.192222,19,6.647211
4.192222,24,7.595558
5.561111,23,8.368674
2.737778,13,8.826604
5.561111,20,9.602034
4.106667,18,10.240147
4.448889,22,11.068369
5.475556,21,11.847893
3.251111,15,12.33116
4.534444,22,13.136631
3.165556,14,13.642129
3.935556,17,14.319052
2.652222,15,14.999736
4.192222,19,15.662508
4.192222,22,16.515967
4.62,22,17.484498
5.133333,22,18.336464
3.251111,13,18.770389
4.277778,19,19.585383
4.876667,19,20.36538
3.935556,17,21.133151
4.277778,20,21.892577
3.422222,16,22.476065
4.363333,21,23.37554
4.106667,20,25.348994
3.678889,19,26.023551
5.047778,23,26.991082
4.534444,23,27.924236
3.165556,15,28.597264
4.106667,21,29.369397
3.422222,18,30.015796
3.507778,17,30.805096
4.791111,20,31.557276
3.85,15,32.188591
4.363333,17,32.756734
4.448889,20,33.486533
4.962222,24,34.45122
3.422222,16,35.037307
3.507778,13,35.526072
2.481111,11,36.072802
4.192222,22,36.842956
3.935556,20,37.586511
4.021111,20,38.467158
4.705556,22,39.285124
3.507778,18,40.067959
3.507778,19,40.761391
3.593333,17,41.406347
5.39,25,42.472343
4.277778,22,43.171877
4.021111,18,43.905944
3.08,17,44.480177
4.021111,18,45.132476
4.791111,24,46.085635
2.481111,10,46.485002
2.823333,12,47.009213
5.475556,21,47.896794
5.133333,23,48.860761
3.764444,16,49.456693
4.791111,26,50.502666
3.593333,18,51.2984
4.705556,21,52.215367
4.962222,27,53.333412
2.053333,9,53.726768
4.277778,24,54.739675
4.192222,17,55.357833
2.908889,16,56.086683
4.876667,21,56.976934
4.791111,20,58.816208
3.165556,15,59.512948
4.192222,19,60.234145
3.764444,21,61.201807
6.16,24,62.174721
3.507778,19,62.966169
3.85,16,63.666551
3.678889,21,64.574309
4.363333,25,65.634079
4.534444,21,66.440273
4.705556,21,67.255618
2.31,11,67.75766
3.165556,13,68.264365
4.363333,20,69.009775
4.705556,21,69.93545
3.422222,15,70.59617
4.534444,21,71.447906
2.481111,13,72.080601
4.363333,19,72.858804
3.85,18,73.494467
4.791111,23,74.442207
4.192222,19,75.140999
4.021111,17,75.893533
3.85,19,76.6157
2.31,9,76.973429
3.935556,17,77.767839
5.133333,24,78.702139
3.593333,21,79.508058
3.593333,17,80.29038
4.62,20,81.161126
4.448889,18,82.059149
4.448889,19,82.88516
3.935556,20,83.647554
5.133333,24,84.742154
3.251111,15,85.303747
4.448889,25,86.326337
4.448889,23,87.191263
4.021111,19,87.959291
5.218889,22,88.914641
2.138889,10,89.3376
2.053333,10,89.707933
2.737778,13,90.365321
3.935556,20,92.40772
4.106667,17,93.043119
4.705556,23,94.115242
5.475556,24,95.122264
2.395556,11,95.554587
4.363333,19,96.484189
3.251111,15,97.147671
4.705556,21,98.149055
4.021111,19,98.847685
3.678889,19,99.65207
5.475556,22,100.558937
3.764444,16,101.18143
2.566667,14,101.740738
4.876667,24,102.821177
3.08,11,103.249044
3.08,17,103.86207
3.08,13,104.476377
3.251111,17,105.140583
4.448889,21,106.035104
5.561111,23,106.991959
4.363333,20,107.763891
5.047778,22,108.753717
4.534444,18,109.407122
4.62,23,110.524409
4.876667,22,111.419429
3.678889,17,112.143747
4.363333,21,113.040785
3.08,13,113.509988
4.62,21,114.358001
5.047778,22,115.229806
5.218889,22,116.039377
4.106667,18,116.89033
4.277778,19,117.69469
4.962222,21,118.534745
4.791111,23,119.59362
5.304444,23,120.577828
4.021111,19,121.488609
3.678889,15,122.137561
4.62,20,122.943808
3.251111,13,123.614838
4.534444,21,125.700805
4.192222,21,126.640758
3.507778,17,127.306581
5.133333,22,128.237089
4.791111,21,129.174039
3.251111,15,129.781052
3.336667,16,130.385526
4.791111,23,131.422931
4.363333,20,132.280208
3.935556,19,133.156475
3.08,15,133.78932
2.566667,14,134.299671
5.218889,23,135.461841
2.823333,13,136.024334
4.534444,21,136.814771
4.705556,22,137.78676
4.62,23,138.721707
4.962222,21,139.605314
4.192222,20,140.392631
4.106667,19,141.110977
4.962222,20,142.006436
4.106667,17,142.665864
5.304444,21,143.596794
4.876667,24,144.566411
3.593333,15,145.158416
5.988889,28,146.353913
5.561111,23,147.241318
2.994444,12,147.804889
4.705556,17,148.50785
5.732222,22,149.513427
3.935556,20,150.40781
4.363333,21,151.287568
5.047778,22,152.156312
3.165556,14,152.708634
3.507778,15,153.309186
5.475556,21,154.219259
4.62,20,155.028407
4.192222,19,155.814388
3.85,18,156.6248
4.106667,17,157.28803
4.62,21,159.260363
5.304444,21,160.109924
3.935556,17,160.840736
3.935556,20,161.761775
2.053333,11,162.173452
2.908889,13,162.695034
3.678889,18,163.477675
4.448889,23,164.42441
3.251111,14,164.991307
4.62,22,165.910771
5.39,21,166.739017
4.448889,19,167.610533
4.962222,24,168.615048
4.277778,23,169.527665
6.245556,27,170.737425
3.678889,20,171.61967
5.133333,22,172.578302
3.593333,21,173.39456
3.764444,19,174.225706
5.133333,20,175.032993
2.566667,14,175.579478
3.764444,16,176.307733
3.85,22,177.311634
3.678889,19,178.076536
5.39,26,179.303179
5.561111,22,180.163211
4.962222,20,181.09989
4.705556,26,182.136204
6.074444,26,183.229095
5.475556,27,184.278051
5.047778,24,185.386796
4.106667,17,186.059338
3.85,19,186.982425
5.218889,24,187.968671
4.021111,21,188.990309
4.106667,22,189.866737
4.962222,24,191.99666
3.593333,17,192.881323
5.561111,23,193.881703
4.192222,20,194.821087
4.192222,19,195.656211
3.764444,16,196.32737
4.277778,20,197.265877
4.62,19,198.068634
5.39,25,199.233762
3.251111,16,199.875012
5.047778,20,200.740496
2.481111,13,201.560906
5.903333,25,202.781287
4.62,20,203.724225
2.908889,14,204.249591
3.764444,17,204.969595
3.85,19,205.832303
4.791111,23,206.666162
4.534444,24,207.629677
5.646667,27,208.813308
5.047778,22,209.78835
3.507778,20,210.73492
4.705556,23,211.600651
4.962222,26,212.810173
4.021111,18,213.494113
4.363333,20,214.364685
3.85,23,215.337296
4.448889,20,216.117673
3.678889,18,216.909388
4.534444,20,217.752226
3.678889,18,218.688033
2.652222,13,219.263315
5.133333,20,220.071002
5.988889,23,221.036557
5.732222,24,222.043729
4.448889,20,222.948926
5.218889,25,223.982571
5.304444,25,226.184234
5.304444,25,227.182685
4.277778,18,227.899804
4.021111,20,228.786784
5.304444,20,229.620821
4.106667,20,230.56702
5.561111,22,231.444938
5.903333,28,232.728021
6.245556,25,233.753667
5.39,24,234.773896
5.475556,23,235.801272
5.047778,21,236.637475
6.758889,31,238.004754
5.903333,22,239.078421
5.39,24,240.080424
5.646667,24,241.067078
4.791111,23,242.24581
4.363333,19,243.094022
6.416667,26,244.383937
5.133333,23,245.434816
5.903333,26,246.60193
5.732222,26,247.657861
6.331111,26,248.823207
5.39,23,249.83353
7.871111,32,251.345378
5.732222,22,252.373318
4.791111,20,253.368732
5.047778,22,254.280982
